Year,PV net-metering systems | Number of systems installed,Total installed capacity (MW),PV net-billing systems | Number of systems installed,Total installed capacity (MW)
2014,5.973,"17,925",0,0
2015,8.045,"24,160",39,"1,792"
2016,9.135,"28,250",81,"3,653"
2017,10.360,"33,213",94,"4,276"
2018,11.613,"38,602",117,"5,994"
2019,14.780,"54,000",147,"14,500"
2020,19.768,"77,403",221,"14,653"
2021,24.262,"100,920",273,"21,687"
2022,33.970,"151,330",409,"28,510"
2023,52.125,"239,980",750,"57,140"
2024,73.850,"348,51","1,396",97.63
