Primary energy savings in the 2020 housing stock by renovation category | 1. Complete renovations of single-family houses other than the worst,
Initial primary energy consumption (kWh/m²),"433,7"
Primary energy savings after renovation (kWh/m²),"325,3"
Primary energy consumption after renovation (kWh/m²),"108,4"
2. Residential roof renovations other than the worst,
Initial primary energy consumption (kWh/m²),"433,7"
Primary energy savings after renovation (kWh/m²),"97,8"
Primary energy consumption after renovation (kWh/m²),"336,0"
3. Installation of PV* houses other than the worst,
Initial primary energy consumption (kWh/m²),"433,7"
Primary energy savings after renovation (kWh/m²),"70,9"
Primary energy consumption after renovation (kWh/m²),"362,8"
4. Complete renovations of single-family houses with the worst energy efficiency,
Initial primary energy consumption (kWh/m²),"510,2"
Primary energy savings after renovation (kWh/m²),"408,1"
Primary energy consumption after renovation (kWh/m²),"102,0"
5. Home roof renovations with the worst energy efficiency,
Initial primary energy consumption (kWh/m²),"510,2"
Primary energy savings after renovation (kWh/m²),"131,7"
Primary energy consumption after renovation (kWh/m²),"378,5"
6. Installation of PV* houses with the worst energy efficiency,
Initial primary energy consumption (kWh/m²),"510,2"
Primary energy savings after renovation (kWh/m²),"70,9"
Primary energy consumption after renovation (kWh/m²),"439,2"
