N/A,Project/Building,Financial | Plan/Programme *,Horizon of | Implementation
1,Nicosia General Hospital: Renovation/Extension of Emergency Department,NRRP,May 2024
2,Nicosia General Hospital: Renovation/Extension of the Department of Interventional Radiology,OP 2022,May 2024
3,Larnaca General Hospital: Renovation/Extension of Emergency Department,NRRP,May 2024
4,Larnaca General Hospital: Renovation/Extension of the Department of Radiology,OP 2022,February 2025
5,General Hospital of Paphos: Renovation/Extension of Emergency Department,NRRP,May 2024
6,General Hospital of Paphos: Renovation/Extension of Day Care,NRRP,May 2024
7,"General Hospital of Paphos: Renovation/Extension of Pediatric-Nursing Unit, Obstetric-Gynecological Clinic and Pregnancy Clinic",NRRP,May 2024
8,Limassol General Hospital: Renovation/Extension of Emergency Department,NRRP,May 2024
9,Limassol General Hospital: Renovation/Upgrade of Basement-Laundry,NRRP,June 2026
10,Archbishop Makarios III Hospital - Renovation/Upgrade of Gynecological Clinic - Renovation/Upgrade of Pediatric Surgery Clinic,NRRP,June 2026
