N/A,Index
1,"Evaluation of the capacities in the construction, energy efficiency and renewable energy sectors"
2,"Market barriers and failures (administrative, financial, technical, awareness)"
3,"Number of skilled workers, SMEs, PPE and one-stop shops (Number of skilled workers, SMEs, energy service companies, one-stop shops)"
4,Projections of the construction workforce
5,Addressing mismatches in human capabilities
6,"Addressing skills gaps and promoting education, upskilling and reskilling"
7,Awareness-raising campaigns and other advisory tools
8,Promotion of one-stop shops or similar mechanisms for assistance
"Note: Indicators 1 and 2 are mandatory, while the rest are optional.",
