Total Building Sector,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Heating oil / Kerosene,"85,2","92,6","92,7","97,1","98,6","98,1","97,9","99,8","99,3","98,8"
Mazut,"4,2","3,9","3,7","3,8","3,8","3,7","3,7","3,7","3,7","3,7"
LPG,"50,1","54,1","56,0","60,7","64,3","66,4","68,3","73,6","78,1","80,6"
Electricity,"336,1","353,6","350,6","362,0","366,7","369,3","370,9","377,0","384,7","391,6"
Biofuels,"0,9","1,0","0,9","0,9","0,8","0,7","0,7","0,6","0,5","0,4"
Biomass/Biogas,"27,8","30,6","30,3","31,6","32,1","32,2","32,4","33,7","35,1","35,7"
Geothermal energy,"0,0","0,0","0,0","0,1","0,2","0,2","0,3","0,4","0,6","0,8"
Solar energy,"75,3","76,5","81,0","87,0","91,2","93,5","96,2","104,6","113,3","118,6"
Total,"579,5","612,1","615,3","643,2","657,7","664,1","670,3","693,5","715,3","730,2"
Environmental energy,"83,4","84,7","93,9","103,1","112,3","121,5","130,6","139,8","149,0","158,2"
RES rate (%),"42,7%","41,8%","42,4%","42,5%","42,7%","43,0%","43,3%","44,0%","45,2%","45,9%"
RES rate (%) - with ambient energy,"57,3%","56,1%","57,5%","57,9%","58,7%","59,6%","60,5%","61,2%","62,2%","63,2%"
GHG emissions (Mt CO₂e),"0,411","0,444","0,449","0,475","0,489","0,493","0,497","0,517","0,528","0,533"
Indirect greenhouse gas emissions (Mt CO₂e),"2,626","2,703","2,507","2,421","2,176","1,690","1,481","1,479","1,484","1,180"
Emissions of gaseous pollutants (t),,,,,,,,,,
NOx,394,427,430,454,466,470,474,493,506,512
PM10,924,1014,1003,1043,1059,1061,1065,1104,1144,1163
PM2.5,900,987,977,1016,1032,1034,1037,1075,1114,1133
SO₂,276,298,298,311,316,314,314,320,319,318
Indirect emissions of gaseous pollutants (t),,,,,,,,,,
NOx,1138,1194,1125,1120,1056,1040,1017,1035,1058,610
PM10,193,192,210,205,105,104,69,70,73,31
PM2.5,155,153,169,164,79,79,48,50,52,22
SO₂,2514,2500,2488,2487,623,614,618,616,613,6
