Total Building Sector,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Heating oil / Kerosene,"85,2","92,6","92,7","95,1","94,6","92,9","92,2","91,1","87,1","84,6"
Mazut,"4,2","3,9","3,7","3,8","3,7","3,7","3,6","3,6","3,5","3,4"
LPG,"50,1","54,1","56,0","59,3","61,5","62,8","64,6","67,3","69,0","70,0"
Electricity,"336,1","353,6","350,6","352,6","355,9","357,5","358,8","362,2","365,9","369,8"
Biofuels,"0,9","1,0","0,9","0,9","0,8","0,7","0,7","0,6","0,5","0,4"
Biomass/Biogas,"27,8","30,6","30,3","31,2","31,3","31,3","31,6","32,2","32,6","32,7"
Geothermal energy,"0,0","0,0","0,0","0,1","0,1","0,2","0,3","0,4","0,5","0,6"
Solar energy,"75,3","76,5","81,0","84,9","87,4","89,2","92,0","97,5","103,0","106,7"
Total,"579,5","612,1","615,3","627,8","635,4","638,2","643,8","654,7","662,2","668,2"
Environmental energy,"83,4","84,7","93,9","103,1","112,3","121,5","130,6","139,8","149,0","158,2"
RES rate (%),"42,7%","41,8%","42,4%","42,5%","42,8%","43,2%","43,7%","44,6%","46,1%","47,1%"
RES rate (%) - with ambient energy,"57,3%","56,1%","57,5%","58,2%","59,2%","60,4%","61,4%","62,5%","64,2%","65,4%"
GHG emissions (Mt CO₂e),"0,411","0,444","0,449","0,465","0,469","0,467","0,469","0,473","0,465","0,459"
NOx,394,427,430,445,449,448,451,456,452,448
PM10,924,1014,1003,1032,1033,1031,1039,1054,1063,1065
PM2.5,900,987,977,1005,1006,1004,1012,1027,1035,1037
SO₂,276,298,298,305,304,299,296,293,282,274
NOx,1138,1194,1126,1090,1022,987,937,937,937,553
PM10,193,192,211,199,98,95,62,61,61,28
PM2.5,155,153,170,160,74,72,43,43,43,20
SO₂,2514,2500,2503,2491,639,634,640,641,641,6
