2021 2022 2023 2024 2025 2026 2027 2028 2029 2030 | Energy savings of the AFM in relation to the Ktoe,,,,,,,,,,
Residentia,"0,0","0,0","0,0","-10,4","-15,7","-18,6","-20,0","-28,6","-36,3","-40,9"
Te rtiary,"0,0","0,0","0,0","-5,0","-6,7","-7,3","-6,6","-10,1","-16,9","-21,1"
Total building sector,"0,0","0,0","0,0","-15,4","-22,3","-25,9","-26,5","-38,7","-53,1","-62,1"
Electricity savings of the AFM compared to the Sym (ktoe),,,,,,,,,,
Residentia,"0,0","0,0","0,0","-4,4","-5,1","-5,7","-6,0","-7,2","-8,6","-9,7"
Te rtiary,"0,0","0,0","0,0","-5,0","-5,7","-6,1","-6,1","-7,6","-10,2","-12,2"
Total building sector,"0,0","0,0","0,0","-9,4","-10,8","-11,8","-12,1","-14,8","-18,8","-21,9"
AFM direct GHG emissions reduction with respect to the SYM (kt CO₂e),,,,,,,,,,
Residentia,"0,0","0,0","0,0","-10,3","-18,6","-23,6","-26,4","-39,7","-51,9","-59,2"
Te rtiary,"0,0","0,0","0,0","0,0","-1,7","-2,2","-1,4","-4,6","-10,7","-14,1"
Total building sector,"0,0","0,0","0,0","-10,2","-20,2","-25,8","-27,8","-44,3","-62,7","-73,2"
AFM indirect GHG emission reduction with respect to the SYM (kt CO₂e),,,,,,,,,,
Total building sector,"0,0","0,0","0,0","-62,7","-64,1","-53,8","-48,3","-58,2","-72,4","-65,9"
Reduction of direct emissions of gaseous pollutants of the AFM in relation to the SYM - Total,,,,,mea (t),,,,,
NOx,"0,0","0,0","0,0","-8,7","-17,5","-22,0","-22,9","-37,5","-54,3","-63,8"
PM10,"0,0","0,0","0,0","-11,6","-26,0","-30,5","-26,0","-49,6","-81,3","-98,1"
PM2.5,"0,0","0,0","0,0","-11,3","-25,3","-29,7","-25,3","-48,3","-79,2","-95,6"
SO₂,"0,0","0,0","0,0","-6,2","-12,2","-15,8","-17,3","-26,8","-37,6","-44,0"
Reduction of indirect emissions of AFM gaseous pollutants in relation to the AGM - Total building sector (t),,,,,,,,,,
NOx,"0,0","0,0","1,0","-29,3","-34,5","-52,4","-80,6","-98,5","-121,0","-56,6"
PM10,"0,0","0,0","0,4","-5,6","-6,7","-8,8","-6,7","-8,9","-12,1","-3,0"
PM2.5,"0,0","0,0","0,3","-4,6","-5,5","-7,1","-5,2","-6,9","-9,5","-2,1"
SO₂,"0,0","0,0","15,2","4,6","15,6","19,9","22,1","24,9","27,1","-0,6"
