2021 2022 2023 2024 2025 2026 2027 2028 2029 2030 | Energy savings of the AFM in relation to the SYM,,,,,,,,,,
Residentia,"0,0%","0,0%","0,0%","-2,8%","-4,1%","-4,8%","-5,1%","-7,0%","-8,6%","-9,5%"
Te rtiary,"0,0%","0,0%","0,0%","-1,8%","-2,4%","-2,6%","-2,4%","-3,6%","-5,7%","-7,0%"
Total building sector,"0,0%","0,0%","0,0%","-2,4%","-3,4%","-3,9%","-4,0%","-5,6%","-7,4%","-8,5%"
Electricity savings of the AFM in relation to the SYM,,,,,,,,,,
Residentia,"0,0%","0,0%","0,0%","-2,8%","-3,2%","-3,5%","-3,7%","-4,4%","-5,1%","-5,7%"
Te rtiary,"0,0%","0,0%","0,0%","-2,4%","-2,7%","-2,9%","-2,9%","-3,6%","-4,7%","-5,5%"
Total building sector,"0,0%","0,0%","0,0%","-2,6%","-2,9%","-3,2%","-3,3%","-3,9%","-4,9%","-5,6%"
Reduction of direct GHG emissions of the AFM in relation to the SYM,,,,,,,,,,
Residentia,"0,0%","0,0%","0,0%","-2,9%","-5,1%","-6,4%","-7,0%","-10,0%","-12,9%","-14,5%"
Te rtiary,"0,0%","0,0%","0,0%","0,0%","-1,4%","-1,8%","-1,2%","-3,8%","-8,6%","-11,3%"
Total building sector,"0,0%","0,0%","0,0%","-2,2%","-4,1%","-5,2%","-5,6%","-8,6%","-11,9%","-13,7%"
Reduction of indirect GHG emissions of the AFM in relation to the SYM,,,,,,,,,,
Total building sector,"0,0%","0,0%","0,0%","-2,6%","-2,9%","-3,2%","-3,3%","-3,9%","-4,9%","-5,6%"
Reduction of direct emissions of gaseous pollutants of the AFM in relation to the SYM - Total,,,,,mea,,,,,
NOx,"0,0%","0,0%","0,0%","-1,9%","-3,8%","-4,7%","-4,8%","-7,6%","-10,7%","-12,5%"
PM10,"0,0%","0,0%","0,0%","-1,1%","-2,5%","-2,9%","-2,4%","-4,5%","-7,1%","-8,4%"
PM2.5,"0,0%","0,0%","0,0%","-1,1%","-2,5%","-2,9%","-2,4%","-4,5%","-7,1%","-8,4%"
SO₂,"0,0%","0,0%","0,0%","-2,0%","-3,9%","-5,0%","-5,5%","-8,4%","-11,8%","-13,8%"
Reduction of indirect emissions of AFM gaseous pollutants in relation to the AGM - Total building sector,,,,,,,,,,
NOx,"0,0%","0,0%","0,1%","-2,6%","-3,3%","-5,0%","-7,9%","-9,5%","-11,4%","-9,3%"
PM10,"0,0%","0,0%","0,2%","-2,8%","-6,4%","-8,4%","-9,8%","-12,7%","-16,7%","-9,8%"
PM2.5,"0,0%","0,0%","0,2%","-2,8%","-6,9%","-9,0%","-10,7%","-13,9%","-18,2%","-9,6%"
SO₂,"0,0%","0,0%","0,6%","0,2%","2,5%","3,2%","3,6%","4,0%","4,4%","-9,1%"
