"ESR emission reduction, 2024-2030 (kt CO₂e):","264,3"
ESR allowance price (€/t):,85
Reduced cost of purchasing ESR allowances (M€):,"22,5"
ETS2 allowance price (€/t):,55
Reduced cost of purchasing ETS2 allowances (M€):,"11,4"
ETS allowance price1 (€/t):,85
Reduced cost of purchasing ETS1 allowances (M€):,"36,2"
NOx loss cost (€/t):,11708
Reduction of NOx pollution costs (M€):,"8,2"
Cost of losses from PM2.5 (€/t):,182000
Reduction of PM2.5 pollution costs (M€):,"64,7"
Cost of losses from SO₂ (€/t):,22259
Reduced cost of SO₂ pollution (M€):,"1,0"
