Total Building Sector,2021,2025,2030,2035,2040,2045,2050
Heating oil / Kerosene,"85,2","94,6","84,6","53,8","31,3","18,1","11,3"
Mazut,"4,2","3,7","3,4","1,9","1,0","0,6","0,3"
LPG,"50,1","61,5","70,0","44,5","26,0","15,0","9,4"
Electricity,"336,1","355,9","369,8","416,7","424,7","421,3","410,8"
Biofuels,"0,9","0,8","0,4","0,2","0,1","0,1","0,0"
Biomass/Biogas,"27,8","31,3","32,7","38,9","55,0","50,1","44,1"
Geothermal energy,"0,0","0,1","0,6","0,7","0,8","1,9","2,6"
Solar energy,"75,3","87,4","106,7","100,4","121,5","170,0","215,4"
Total,"579,5","635,4","668,2","657,2","660,5","677,2","694,0"
Environmental energy,"83,4","112,3","158,2","166,6","175,0","183,3","191,7"
RES rate (%),43%,43%,47%,58%,75%,87%,93%
RES rate (%) - with ambient energy,57%,59%,65%,75%,86%,92%,96%
GHG emissions (Mt CO₂e),"0,411","0,469","0,459","0,291","0,170","0,098","0,061"
Table 9.6: Projected final energy consumption and GHG emissions of the building sector in the AFM by 2050.,,,,,,,
