Code None,Building Type None,M/ Miav None,None,Total GHG emissions in Year X-2 (MtCO eq) 2,None,GHG emissions per m² in Year X-2 (kgCO eq/(m².y)) 2 None,None,None
R,Residential Out of which,M,1.8,,,5.04,,
(a),single-family houses of different types,Miav,1.5,,,Not available in DK.,,
(b1),apartment blocks or multi-fam- ily buildings,Miav,0.3,,,Not available in DK.,,
(b2),residential building unit in apartment blocks or multi-fam- ily buildings,Miav,Not available in DK.,,,Not available in DK.,,
NR,Non-residential Out of which,M,0.6 NR = (c) + (d) + (e) + (f) +(g) + (h) +(i),,,"4,28 NR’ = NR/ (non-residen- tial floor area)",,
(c),offices,Miav,,Not available in DK.,,,Not available in DK.,
(d),educational buildings,Miav,,Not available in DK.,,,Not available in DK.,
(e),hospitals & healthcare build- ings,Miav,Not available in DK.,Not available in DK.,,Not available in DK.,Not available in DK.,
(f),hotels and restaurants,Miav,,Not available in DK.,,,Not available in DK.,
(g),sport facilities,Miav,,Not available in DK.,,,Not available in DK.,
(h),wholesale and retail trade ser- vices buildings,Miav,Not available in DK.,Not available in DK.,,Not available in DK.,Not available in DK.,
(i),Other type (describe if any),Miav,,Not available in DK.,,,Not available in DK.,
T,Total,M,2.3 T=R + NR,,,4.84 T’=T/(total floor area),,
