Code None,Building Type None,M/ Miav None,None,"Final energy con- sumption targeted in 2030, 2040 and",None,None,"Primary energy consumption tar- geted in 2030, 2040",None
,,,,2050,,,and 2050,
,,,,(ktoe),,,(ktoe),
R,Residential Out of which,M,"3,440",,,"4,000",,
,,M,"3,270",,,"3,900",,
,,M,"3,240",,,"3,300",,
(a),single-family houses of different types,Miav,,Not available in,,Not available in DK.,,
,,,,DK.,,,,
(b1),apartment blocks or multi-family buildings,Miav,,Not available in,,Not available in DK.,,
,,,,DK.,,,,
(b2),residential building unit in apartment blocks or multi-family buildings,Miav,,Not available in,,Not available in DK.,,
,,,,DK.,,,,
NR,Non-residential Out of which,M,"1,860",,,"1,600",,
,,M,"2,030",,,"1,300",,
,,M,"2,260",,,"1,000",,
(c),offices,Miav,,Not available in,,Not available in DK.,,
,,,,DK.,,,,
(d),educational buildings,Miav,,Not available in,,Not available in DK.,,
,,,,DK.,,,,
(e),hospitals & healthcare buildings,Miav,,Not available in,,Not available in DK.,,
,,,,DK.,,,,
(f),hotels and restaurants,Miav,,Not available in,,Not available in DK.,,
,,,,DK.,,,,
(g),sport facilities,Miav,,Not available in,,Not available in DK.,,
,,,,DK.,,,,
(h),wholesale and retail trade services buildings,Miav,,Not available in,,Not available in DK.,,
,,,,DK.,,,,
(i),Other type (describe if any),Miav,,Not available in,,Not available in DK.,,
,,,,DK.,,,,
T,Total,,"5,300",,,"5,600",,
,,,"5,300",,,"5,200",,
,,,"5,500",,,"4,300",,
