End use,,Primary energy consumption in,,,,,Final energy consumption in Years,,,
,,"Years 2030, 2040, 2050",,,,,"2030, 2040, 2050",,,
,,(ktoe),,,,,(ktoe),,,
Space heating,"4,569",,"4,243","3,509",,"3,952",,"3,899","4,006",
Space cooling,14,,13,11,,55,,59,65,
Domestic hot water,715,,664,549,,599,,591,608,
Ventilation,79,,74,61,,306,,332,362,
Built-in Lighting,82,,76,63,,125,,138,153,
Other Technical Building Systems,140,,130,107,,263,,281,306,
Total,"5,600",,"5,200","4,300",,"5,300",,"5,300","5,500",
