EPC Class,None,None,Number of residential/ non-resi- dential building or /building units in Year X-2,None,None,Floor area residential/non-residential in Year X-2 (m²),None,None
,A2020,,,"15,516",,,"8,134,541",
,A2015,,,"57,231",,,"25,347,822",
A2010,,,"37,061",,,"20,624,102",,
B,,,"74,480",,,"36,410,363",,
C,,,"228,730",,,"93,887,059",,
D,,,"177,732",,,"55,996,737",,
E,,,"80,591",,,"18,626,418",,
F,,,"38,412",,,"8,017,707",,
G,,,"27,752",,,"6,217,288",,
Without valid EPC,,,"1,253,749",,,"251,406,782",,
Total,,,"1,991,254",,,"524,668,819",,
