Breakdown None,None,Investment needs for renovation of exist- ing stock (million EUR),None,M/ Miav None,2026- 2030 None,None,None,2031- 2033 None,None,None,2033- 2035 None,None,None,2036- 2040 None,None,None,2041- 2045 None,None,None,2046- 2050 None,None,None
Investment needs,Residential (renovation),,,M,"1,889",,,"1,133",,,756,,,"1,889",,,"1,889",,,"1,889",,
,Out of which for 43pct. worst-performing build- ings,,,Miav,"1,330",,,798,,,532,,,"1,330",,,"1,330",,,"1,330",,
,Non-residential (renova- tion),,,M,464,,,733,,,384,,,959,,,597,,,597,,
,Out of which for worst- performing buildings (incl. buildings con- cerned by Article 9(1)),,,Miav,,Not,,,Not,,,Not,,,Not,,,Not,,,Not,
,,,,,,availa-,,,availa-,,,availa-,,,availa-,,,availa-,,,availa-,
,,,,,,ble in,,,ble in,,,ble in,,,ble in,,,ble in,,,ble in,
,,,,,,DK.,,,DK.,,,DK.,,,DK.,,,DK.,,,DK.,
,"Other needs such as: administrative re- sources, alleviation of energy poverty, creation of OSS, deployment of solar energy installa- tions and infrastructure for smart mobility",,,Miav,Not availa- ble in DK.,,,Not availa- ble in DK.,,,Not availa- ble in DK.,,,Not availa- ble in DK.,,,Not availa- ble in DK.,,,Not availa- ble in DK.,,
,Total investment needs,,,M,"2,353",,,"1,866",,,"1,139",,,"2,848",,,"2,486",,,"2,486",,
Source of fi- nancing (Public/Pri- vate) incl. budgetary resources,Public investments Out of which,,,M,"1,388",,,"1,002",,,702,,,"1,881",,,"2,077",,,"2,293",,
,Local funds,,,M,940,,,611,,,428,,,"1,146",,,"1,266",,,"1,398",,
,Regional funds,,,,52,,,33,,,23,,,63,,,69,,,77,,
,National funds,,,M,396,,,358,,,251,,,671,,,741,,,818,,
,EU funds,,,M,0,,,0,,,0,,,0,,,0,,,0,,
,Other (describe),,,Miav,,Not,,,Not,,,Not,,,Not,,,Not,,,Not,
,,,,,,availa-,,,availa-,,,availa-,,,availa-,,,availa-,,,availa-,
,,,,,,ble in,,,ble in,,,ble in,,,ble in,,,ble in,,,ble in,
,,,,,,DK.,,,DK.,,,DK.,,,DK.,,,DK.,,,DK.,
