Indicator,,2020,,,2030,,,2035,,,2040,,,2045,,,2050,
,,“baseline”,,,milestone,,,milestone,,,milestone,,,milestone,,,milestone,
Average primary energy use in kWh/(m².y) (A),156,,,128,,,125,,,123,,,112,,,102,,
Variation in pct. com- pared to 2020 (pct.) (B),Not appli- cable,,,-18,,,- 20,,,-21,,,-28,,,-34,,
Number of buildings to be renovated annually,Not availa- ble in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,
Floor area to be renovated annually,Not availa- ble in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,
Number of the 43pct. WP buildings to be renovated annually,Not availa- ble in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,
Floor area of the 43pct. WP buildings to be reno- vated annually,Not availa- ble in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,
Sub-target to achieve at least 55pct. of the de- crease in 43pct. worst- performing buildings in GWh/year,Not appli- cable,,,"To be re- calculated later, but at least 8.8pct.",,,"To be re- calculated later, but at least 11- 12.1pct.)",,,To be cal- culated later,,,To be cal- culated later,,,To be cal- culated later,,
Additional optional indi- cator(s) as per Article 9(3),Not availa- ble in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,,Not avail- able in DK.,,
