Code None,None,None,Building type None,None,None,None,M/ Miav,None,Final energy consump- tion in year X-2 (ktoe) None,None,None,None,None,None,Primary energy con- sumption in year X-2 (ktoe) None,None,None,None,None,None
,,,,,,,,,,Year X-2,,,2020,,,Year X-2,,,2020,
R,,,Residential R= (a) + (b1) Or R = (a) + (b2) Out of which,,,M,,,"3,581",,,"3,803",,,"4,020",,,"4,593",,
(a),,,single-family houses of different types,,,Miav,,,"2,576",,,"2,766",,,,Not availa-,,,Not avail-,
,,,,,,,,,,,,,,,,ble,,,able,
(b1),,,apartment blocks or multi- family buildings,,,Miav,,,"1,006",,,"1,037",,,,Not availa-,,,Not avail-,
,,,,,,,,,,,,,,,,ble,,,able,
(b2),,,residential building unit in apartment blocks or multi- family buildings,,,Miav,,,Not availa- ble,,,Not avail- able,,,Not availa- ble,Not availa-,,Not avail- able,Not avail-,
,,,,,,,,,,,,,,,,ble,,,able,
NR,,,Non-residential NR = (c) + (d) + (e) + (f) +(g) + (h) +(i) Out of which,,,M,,,"1,349",,,"1,336",,,"1,845",,,"2,023",,
(c),,,offices,,,Miav,,,,Not availa-,,,Not avail-,,,Not availa-,,,Not avail-,
,,,,,,,,,,ble,,,able,,,ble,,,able,
(d),,,Educational buildings,,,Miav,,,,Not availa-,,,Not avail-,,,Not availa-,,,Not avail-,
,,,,,,,,,,ble,,,able,,,ble,,,able,
