Type of building,"Number of buildings, cooling capacity 70-"
"Detached houses, terraced houses and semi-",0
d t h d h Flat-floor dwelling,146
Commercial buildings,916
Office buildings,943
Nursing buildings,504
Assembly buildings,363
Educational buildings,390
Transport buildings,6
Total,3 268
utput of m an 290 kW every two,ore than 70 kW . years) is highe ze of the syste anent; the savi gs effect of a m tire building sto
"measures, i.e. they include all measures im",plemented
"The heat, fuel and district cooling savings fr",om the me
amounted to 377 GWh during the period co,"nsidered,"
Actual electricity savings amount to 153 GW,"h, i.e. an"
savings from ventilation systems have been,achieved
changes in setpoints and running time. The,remaining
