sgnidliublaicremmoC sesuoh laitnediseR noitacudE tropsnarT niahc sgnidliub sgnidliub noitisopmoC sgnidliub sgnidliub dna dna sesuoH gnilloR sesuoh eciffO gnisrun sgnidliub sgnidliub District heating,65,1 263,35 491,4 564,2 194,2731,1 225,1 700,1 443,latoT 50 676
Oil,183,551,2 393,1 934,505,604,393,651,973,8 187
Electricity,90,241,214,1 236,199,133,347,59,409,2 928
Gas,0,15,58,92,24,51,18,26,29,313
"Coal, coke, etc.",2,1,5,5,2,1,2,0,6,24
Wood,105,7,13,97,20,49,42,73,59,465
Peat,0,0,5,9,4,1,2,3,6,30
"Geothermal heat, etc.",12,71,765,401,51,187,92,78,152,1 809
Other,0,2,21,52,11,13,16,24,33,172
Total,456,2 150,38 967,8 391,3 010,3772,2 136,2 613,3 110,64 605
