District heating,Purchased energy (GWh/a) 14 858,"Purchasing energy savings potential i (GWh/a) 14,9 – 111,4",Co2 emission reduction potential (tCO2/a) 1634-12258
Oil heating,2 379,"4,8-7,1",1189-1783
Electric heating,523,"0,5 – 3,9",20-149
Geothermal,141,"0,1 – 1,1",5-40
Wood,200,"0,7-1,8",0
Gas,78,"0,08-0,12",16-23
Total heating systems,18 179,"21,1–125,5",2864 –14253
Compressor or heat pump cooling,31,"0,03-0,23","1,2 – 8,7"
District cooling,10,"0,01-0,08","0,2-1,2"
Total cooling,41,"0,04–0,31","1,3–9,9"
TOTAL,18 220,"21,1–125,8",2865 –14263
described in Chapters 3.2 a,nd 3.3.,,
