Indicator,Electricity- heating,Targetset of the whole,Indicator_1,"Saving, GWh/a"
,GWh/a,stock,,
Year 2023,,,Saving %,
Detached houses,9 497,100 %,2.5 %,237
Foothouses and chain houses,1 899,100 %,2.5 %,47
Flat-floor buildings,1 609,100 %,2.5 %,40
Secondary residences,903,100 %,2.5 %,23
Service buildings,2 351,33 %,1.0 %,8
Industrial buildings,3 349,10 %,1.0 %,3
Agriculture and forestry,,50 %,1.0 %,0
Electricity taken by heat pumps,8 339,,,
Reduction of heat pumps from savings in residential buildings,,100 %,2.5 %,—208
