Building element/syste,Measures
External walls,Additional thermal insulation when the external cladding is in need of renewal. Concentrating expenditure.
Windows,"Degraded windows are replaced with new, more energy efficient ones."
Heating,Balancing of the heating system and replacement of radiator valves. Smart heating control system.
building’s resp,onsibilities.
• Ministry of t,he Environment: Long-term renovation strategy 2020-2050
• Ministry of t,"he Environment, cost-optimal levels of minimum energy performa"
renovation,works.
• Motiva Oy:,https://www.motiva.fi/koti_ja_asuminen/energiatehokas_pientalo
• Motiva Oy:,https://www.motiva.fi/koti_ja_asuminen/energiatehokas_taloyhtio
• Energy Per,formance Contracts 2017-2025: https://energiatehokkuussopimu
