Advisory service provider,Subject matter,Examples of services
Centre for State-Sponsored Housing Construction Varke,Transversal,Energy Certificate Register.fi website
Energy Authority*,Transversal,Energy advice organised at regional level
Provincial Museums,Sites of cultural and historical value,Repair solutions
Finnish Museum Agency,Sites of cultural and historical value,Guidelines and guides for the built cultural environment and a repair card
PRKK – Centre for the Development of Renovation and Construction,Houses and mini- houses,Impartial advisory and training services for builders and refurbishers in the construction sector.
Finnish Respiratory Association (HELI),Transversal,Prevention of moisture and mould damage
Finnish Association of Individual,Detached houses,"Advice, electronic maintenance book"
City of Oulu,Residential buildings,Information on renovation solutions on the City of Oulu’s building control website
Energy consultancy for housing companies in the City of Hel sinki*,House companies,Energy consultancy services for housing companies
ELY Centre,"Municipalities, companies, real estate",Renewable Energy Licensing Advice
HSY Climate Info,"Consumers, property owners",Climate Info Energy Advice
•,"In-house Communication Platform, https://www.motiva.fi/talotekniikanviestin",
•,National Energy Savings Week;,
•,"Environmental Administration web service, Repairinformation,",
•,"Construction guidance, City of Oulu, https://www.ouka.fi/rakennusvalvonta/r",
•,"Energy consultancy for housing companies, City of Helsinki,",
•,"Energy consultancy, HSY Climateinfo, https://ilmastoinfo.hsy.fi/energianeuv",
