Building type and purpose,Until 1900,1901-1940,1941-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2020,2021-2025,Not set due to lack of data
Single occupancy,11415,99127,85238,65611,80120,64699,23890,34157,60981,36153,17
Bicycles,333,3178,1663,1296,1218,686,273,1156,6131,6617,0
Multi-apartment buildings,1445,8633,3727,6699,7149,6730,2286,1204,1362,1021,1
Various soc. groups,45,249,142,354,505,411,66,59,71,50,0
Total residential buildings,13238,111187,90770,73960,88992,72526,26515,36576,68545,43841,18
Production and industrial use,180,782,1880,4533,7131,7130,2318,1430,1216,364,0
For storage purposes,313,1147,1976,4408,4876,5419,1978,1407,1660,979,0
Buildings for all industrial and storage purposes,493,1929,3856,8941,12007,12549,4296,2837,2876,1343,0
Administrative,217,1294,786,1518,2245,2236,900,624,496,213,0
Science and education,123,716,321,1067,1138,1039,144,103,101,43,0
Trade destination,98,652,602,1618,1200,1027,1502,1150,947,518,0
The purpose of the treatment,41,321,175,216,343,410,145,86,83,33,0
Hotel destinations,25,125,44,46,83,55,75,131,266,581,0
Public recreation,24,190,125,910,1049,1217,287,920,1642,1279,0
Cultural,222,431,220,334,355,310,90,53,73,13,0
Cultural and educational,5,33,19,32,53,28,7,1,0,0,0
The purpose of the services,41,206,251,558,623,672,278,397,564,568,0
For power supply purposes,42,166,107,239,318,319,191,174,133,74,0
Transport destination,22,52,41,52,67,91,51,83,72,8,0
For sports,5,24,47,57,100,128,48,65,63,50,0
Special-purpose,35,119,77,162,201,107,87,82,81,91,0
Buildings for all administrative and service purposes,900,4329,2815,6809,7775,7639,3805,3869,4521,3471,0
Of garages,21,292,791,3277,6480,6676,3478,1186,625,256,0
Religious,842,571,84,20,17,46,101,61,50,6,1
Amateur orchards,1,7,26,3084,12026,34304,11112,19321,14239,7929,7
Destination of the ancillary farm,15544,209629,257176,274692,391407,384396,118561,61982,58936,19884,37
Agricultural,169,494,667,1199,1360,1380,521,793,861,480,0
The intended use of the plant production,0,14,14,73,53,110,18,29,108,72,0
For the purpose of animal production,81,232,1361,2213,2603,1901,193,300,345,162,0
Other,119,398,911,2432,4134,4436,2008,1311,1227,505,1
All other non-residential buildings,16777,211637,261030,286990,418080,433249,135992,84983,76391,29294,46
Total non-residential buildings,18170,217895,267701,302740,437862,453437,144093,91689,83788,34108,46
Total,31408,329082,358471,376700,526854,525963,170608,128265,152333,77949,64
