County,Private property - Natural persons,Private property - Legal persons,Public property,Municipal property,Mixed other,Total
Alytus parsv. - Number of units,170611,5488,775,1080,7099,185053
Alytus parsv. - %,92.20,2.97,0.42,0.58,3.84,100
Kaunas district - Number of units,388893,19799,2625,2777,23198,437292
Kaunas district - %,88.93,4.53,0.60,0.64,5.30,100
Klaipėda countryside - Number of units,186885,10825,1068,1677,11426,211881
Klaipėda countryside - %,88.20,5.11,0.50,0.79,5.39,100
Marijampole scree - Number of units,167547,6569,719,1388,6937,183160
Marijampole scree - %,91.48,3.59,0.39,0.76,3.79,100
Panevėžys district - Number of units,268962,10728,920,2201,6458,289269
Panevėžys district - %,92.98,3.71,0.32,0.76,2.23,100
Šiauliai County - Number of units,291778,12269,1525,2609,8584,316765
Šiauliai County - %,92.11,3.87,0.48,0.82,2.71,100
Tauragė scree - Number of units,128874,3571,493,967,4457,138362
Tauragė scree - %,93.14,2.58,0.36,0.70,3.22,100
Telšiai scree - Number of units,154364,6074,606,1113,4683,166840
Telšiai scree - %,92.52,3.64,0.36,0.67,2.81,100
Utena scree - Number of units,226392,7690,781,1520,4943,241326
Utena scree - %,93.81,3.19,0.32,0.63,2.05,100
Vilnius district - Number of units,432110,19839,2751,3438,25592,483730
Vilnius district - %,89.33,4.10,0.57,0.71,5.29,100
Total - Number of units,2416416,102852,12263,18770,103377,2653678
Total - %,91.1,3.9,0.5,0.7,3.9,100
