Purpose,Fuel,Fuel and energy consumption in households GWh 2020,Fuel and energy consumption in households GWh 2021,Fuel and energy consumption in households GWh 2022,Fuel and energy consumption in households GWh 2023,Fuel and energy consumption in households GWh 2024,2020-2024 share of average consumption
For domestic heating,Coal,268.65,324.48,283.77,147.70,159.33,2%
For domestic heating,Peat for fuel and peat briquettes,111.65,130.26,143.05,81.41,44.19,1%
For domestic heating,Liquefied Petroleum Gas,12.79,11.63,12.79,24.42,31.40,0%
For domestic heating,Heating gas oils,197.71,229.11,270.98,265.16,250.05,2%
For domestic heating,Natural gas,1365.36,1703.80,1500.27,1359.55,1197.89,12%
For domestic heating,Renewable energy (heat pumps),281.45,590.80,793.17,1031.58,1404.90,7%
For domestic heating,Electricity,173.29,222.13,276.79,296.57,319.83,2%
For domestic heating,Thermal energy (Note – DH),4057.71,4721.78,4364.74,4364.74,4362.41,36%
For domestic heating,Firewood wood waste for fuel and agricultural waste,5024.16,4933.45,4671.77,4460.11,5014.86,39%
For domestic heating,Total by fuel and energy type,11493.93,12867.43,12317.33,12031.24,12784.86,100%
For the production of hot water,Coal,16.28,25.59,19.77,10.47,29.08,1%
For the production of hot water,Peat for fuel and peat briquettes,5.82,9.30,10.47,5.82,4.65,0%
For the production of hot water,Liquefied Petroleum Gas,1.16,2.33,3.49,8.14,16.28,0%
For the production of hot water,Heating gas oils,58.15,67.45,81.41,76.76,68.62,4%
For the production of hot water,Natural gas,210.50,347.74,336.11,325.64,276.79,15%
For the production of hot water,Renewable energy (heat pumps),41.87,88.39,118.63,154.68,209.34,6%
For the production of hot water,Electricity,137.23,229.11,226.79,245.39,276.79,11%
For the production of hot water,Thermal energy (Note – DH),831.55,1107.18,958.31,894.35,831.55,46%
For the production of hot water,Firewood wood waste for fuel and agricultural waste,236.09,344.25,344.25,327.97,412.87,17%
For the production of hot water,Total by fuel and energy type,1538.65,2221.33,2099.22,2049.21,2125.96,100%
Lighting and electrical appliances,Electricity,2560.93,2722.58,2549.30,2370.19,2308.56,100%
Lighting and electrical appliances,Total by fuel and energy type,2560.93,2722.58,2549.30,2370.19,2308.56,100%
All uses (as listed above),Coal,284.94,350.06,303.54,158.17,188.41,2%
All uses (as listed above),Peat for fuel and peat briquettes,117.46,139.56,153.52,87.23,48.85,1%
All uses (as listed above),Liquefied Petroleum Gas,13.96,13.96,16.28,32.56,47.68,0%
All uses (as listed above),Heating gas oils,255.86,296.57,352.39,341.92,318.66,2%
All uses (as listed above),Natural gas,1575.87,2051.53,1836.38,1685.19,1474.68,10%
All uses (as listed above),Renewable energy (heat pumps),323.31,679.19,911.79,1186.26,1614.24,6%
All uses (as listed above),Electricity,2871.45,3173.83,3052.88,2912.15,2905.17,18%
All uses (as listed above),Thermal energy (Note – DH),4889.25,5828.96,5323.05,5259.09,5193.96,32%
All uses (as listed above),Firewood wood waste for fuel and agricultural waste,5260.25,5277.69,5016.02,4788.07,5427.72,31%
All uses (as listed above),Total by fuel and energy type,15593.50,17811.35,16965.84,16450.64,17219.38,100%
