Building type and purpose,A++,A+,A,B,C,D,E,F,G,Total
Single and double occupancy,7556,16293,4657,29162,9349,6473,13387,30815,3151,120843
Multi-apartment buildings,201,531,275,2190,1913,321,592,2875,112,9010
Total residential,7757,16824,4932,31352,11262,6794,13979,33690,3263,129853
Office/administrative use,39,102,77,362,261,382,270,811,194,2498
The purpose of the treatment,15,16,10,102,69,67,33,136,11,459
Cultural,4,8,6,67,76,22,29,94,14,320
Purpose of trade and services,218,277,100,647,274,183,214,686,288,2887
For sporting purposes,21,15,9,43,21,11,8,23,7,158
Educational/scientific,17,25,19,180,267,60,112,408,52,1140
Hotels and catering,98,207,20,185,71,38,58,121,30,828
Other,300,286,111,1087,427,210,335,810,291,3857
Total non-residential,712,936,352,2673,1466,973,1059,3089,887,12147
Total,8469,17760,5284,34025,12728,7767,15038,36779,4150,142000
