EPC building,Until 1900,1901-1960,1961-1992,1993-2005,2006-2013,2014-2016,2017-2019,2020-2022,2023-2025,Total
A++,3,58,130,22,34,232,2691,1640,474,5284
A+,3,54,83,32,27,106,2815,10723,3917,17760
A,0,9,17,6,1,7,86,2560,5783,8469
B,121,2336,5971,1219,3163,8063,8129,3660,1363,34025
C,66,1379,3687,887,2150,2311,1314,690,244,12728
D,51,1055,2425,1533,1529,608,274,196,96,7767
E,415,5903,7665,632,237,121,42,16,7,15038
F,793,13064,20261,1791,550,103,84,83,50,36779
G,96,1546,2170,257,44,15,10,6,6,4150
Total,1548,25404,42409,6379,7735,11566,15445,19574,11940,142000
