End of refurbishment of a multi-apartment building,Number of refurbished multi-apartment buildings (units),Useful floor area (m²),Thermal energy savings (MWh/year),CO2 emission reduction (t/y)
2013-2024,3727,6380364,992921,250838
2024,332,560311,83637,19488
2023,278,444464,69417,16174
2022,398,658124,103846,24196
2021,343,633146,96744,22541
2020,305,519849,85636,19953
2019,269,455438,77718,18108
2018,224,293710,58585,13650
2017,403,654471,119926,27943
2016,761,1190469,206380,48087
2015,582,769432,141692,33014
2014,123,143842,25055,5838
2013,41,57108,7922,1846
