End of refurbishment of a multi-apartment building,Number of refurbished multi-apartment buildings (units),Useful floor area (m²),Annual thermal energy savings (MWh/year),CO2 emission reduction (t/y)
2023,724,1571946.49,12804.72,3076.22
2022,123,250641.72,1303.61,312.14
2021,397,1028734.25,6672.37,1562.11
2020,361,891021.49,5611.13,1338.82
2019,463,887918.79,3369.01,784.98
2018,757,1776088.67,6880.63,1603.19
2017,765,2116829.90,7543.35,1757.60
2016,682,1796098.17,7284.59,1697.31
2015,1280,3249563.20,24765.13,5770.27
2014,1798,4671974.87,41120.82,9581.15
2013,1275,2654581.22,31953.53,7445.17
