Order No,Municipality,Renewable primary energy use prior to the project (kWh/m²/y),Planned renewable primary energy use (kWh/m²/y) after the project,Emissions of the building before the project (kg/m²/y),Projected CO2 emissions of the building (kg/m²/y) after the project,Change in CO2 emissions (kg/m²/y)
1,Ukmergė,229.1,61.9,65.8,18.0,47.8
2,Panevėžys District Municipality,318.2,100.7,32.3,26.7,5.6
3,Visaginas,45.4,0.0,40.2,16.6,23.6
4,Šiauliai District Municipality,201.5,91.8,34.6,18.1,16.5
5,Šalčininkai,284.0,67.8,64.4,24.1,40.3
6,Marijampole,411.8,173.9,67.4,31.6,35.8
7,Rokiškis,207.6,63.1,35.6,14.9,20.7
8,Akmenė District Municipality,203.0,59.4,72.1,21.0,51.1
9,Akmenė District Municipality,216.7,62.6,100.7,22.2,78.5
10,Tauragė,257.4,92.1,37.1,25.5,11.6
11,Elektrėnai Municipality,2.7,7.1,76.7,40.1,36.6
12,Elektrėnai Municipality,91.0,45.6,54.6,24.1,30.5
13,Elektrėnai Municipality,362.8,99.1,24.5,15.7,8.8
14,Gardens,129.3,46.4,24.7,14.3,10.4
15,Kėdainiai,252.3,61.7,83.5,14.5,69.0
16,Kėdainiai,259.2,59.8,44.9,14.3,30.6
17,Kupiškis,218.2,85.6,33.5,14.4,19.1
