Purpose,Fuel,Primary energy consumption GWh 2020,Primary energy consumption GWh 2023,Final energy consumption GWh 2020,Final energy consumption GWh 2023
For domestic heating in residential buildings,District heating,5072.13,5455.92,4057.71,4364.74
For domestic heating in residential buildings,Electricity,1136.83,3320.37,454.73,1328.15
For domestic heating in residential buildings,Biofuels (malks briquettes etc.),6162.97,5449.82,5135.81,4541.52
For domestic heating in residential buildings,Polluting fuels (gases etc.),2028.97,1976.52,1844.52,1796.84
For the production of hot water in residential buildings,District heating,1039.43,1117.93,831.55,894.35
For the production of hot water in residential buildings,Electricity,447.76,1000.18,179.10,400.07
For the production of hot water in residential buildings,Biofuels (malks briquettes etc.),290.28,400.54,241.90,333.78
For the production of hot water in residential buildings,Polluting fuels (gases etc.),314.71,463.11,286.10,421.01
Total for hot water and heating.,16493.08,19184.38,13031.42,14080.44
Heating and hot water in non-residential buildings,District heating,4535.75,3693.13,3628.60,2954.50
Heating and hot water in non-residential buildings,Electricity,68.25,212.00,27.30,84.80
Heating and hot water in non-residential buildings,Biofuels (malks briquettes etc.),3367.45,2799.50,3061.32,2545.00
Heating and hot water in non-residential buildings,Polluting fuels (gases etc.),,,
Total non-residential for hot water and heating,7971.45,6704.63,6717.22,5584.30
Total building stock,District heating,10647.32,10266.98,8517.85,8213.59
Total building stock,Electricity,1652.84,4532.55,661.14,1813.02
Total building stock,Biofuels (malks briquettes etc.),12164.38,11089.48,10569.65,9638.14
Total building stock,Polluting fuels (gases etc.),,,
Total for hot water and heating in the building stock,24464.53,25889.01,19748.63,19664.74
