Municipality,Total energy consumption (kW),Total installed capacity of RES installations (kW),Amount of electricity generated from RES (kWh)
Alytus parsv.,1146551883.99,746892.23,353662951.00
Kaunas district,1315302426.59,188294.03,40341818.00
Klaipėda countryside,2377209063.66,291626.20,119606649.00
Marijampole scree,234835527.34,141825.48,46646827.00
Panevėžys district,326240741.02,92550.67,20536299.00
Šiauliai County,1180517963.61,451801.56,201814258.00
Tauragė scree,1315302426.59,728318.10,172269347.00
Telšiai scree,275136105.48,115926.98,26626511.00
Utena scree,234835527.34,403634.86,189655936.00
Vilnius district,2789860626.51,371299.63,220695624.00
Total,10963549758,3532169.74,1391856220.00
