Municipality,Installed capacity of power plants for legal entities – ordinary prosumers (kW),Electricity generation from power plants by legal entities – ordinary prosumers (kWh),Installed capacity of power plants of legal entities – remote prosumers (kW),Amount of electricity produced in power plants by legal entities that are remote prosumers (kWh)
Alytus parsv.,22959.59,13623437.98,21941.44,43927631.12
Kaunas district,117063.66,42425264.08,75578.34,77105687.48
Klaipėda countryside,41496.30,4632682.54,29644.44,14445464.94
Marijampole scree,12254.76,5491158.97,29129.83,28790215.67
Panevėžys district,27823.48,5183877.37,34206.26,40907324.51
Šiauliai County,38000.21,9178786.23,50126.05,20685668.63
Tauragė scree,9915.94,14449346.94,16704.52,16717974.39
Telšiai scree,19630.59,10683355.35,10344.66,27758725.23
Utena scree,13765.73,5887832.99,28041.37,7506865.67
Vilnius district,71187.70,22660326.07,42567.20,9419248.64
Total,374097.88,134216068.52,338284.09,287264806.28
