Type and purpose of buildings,Number of buildings (units) 2020,Number of buildings (units) 2025,Total building area (floor area) m2 2020,Total building area (floor area) m2 2025
Single occupancy,525238,561408,67821779,72931419
Bicycles,15934,22551,3434281,4861299
Multi-apartment buildings (up to 1000 m2),23284,23822,9022157,9303278
Multi-apartment buildings (up to 1000-5000 m2),14210,14623,35637111,36535220
Multi-apartment buildings (above 5000 m2),1741,1812,12008183,12724876
Different social groups,1902,1952,3614210,3635479
Total residential buildings,582309,626168,131537723,139991571
Production and industrial use,26600,26964,21221275,22165888
For storage purposes,23184,24163,14739653,16201839
Total industrial and storage buildings,49784,51127,35960929,38367727
Administrative,10316,10529,10387731,10943068
Science and education,4752,4795,8628463,8809081
Trade destination,8796,9314,7156986,7903084
The purpose of the treatment,1820,1853,2958558,3021069
Hotel destinations,850,1431,1152663,1296335
Public recreation,6364,7643,1511733,1724208
Cultural,2088,2101,1987891,2018688
Cultural and educational,178,178,163012,163012
The purpose of the services,3590,4158,1491636,1727396
For power supply purposes,1689,1763,739708,761273
Transport destination,531,539,243880,252946
For sporting purposes,537,587,923201,1065139
Special-purpose,951,1042,575590,636572
Buildings for all administrative and service purposes,42462,45933,37921052,40321871
Of garages,22826,23082,9216970,9371722
Religious,1792,1799,641089,644970
Amateur orchards,94120,102056,5962143,6488743
Destination of the ancillary farm,1772323,1792244,1519642,2045283
Agricultural land use,6960,7440,2549960,2742844
Agricultural,484,484,487966,487966
The intended use of the plant production,419,491,777071,905592
For the purpose of animal production,9229,9391,10377524,10675079
Other,16976,17482,2710829,2764414
All other non-residential buildings,1925129,1954469,34243193,36126613
Total non-residential buildings,2017375,2051529,108125174,114816211
Total building stock,2599684,2677697,239662898,254807783
