Building type/destination,Total GHG emissions (tonnes CO2 eq.),GHG emissions per m² 2020 (kg CO2eq/m²)
Detached houses,2602176.9,40
Multi-apartment buildings,1840261.1,32
of which: multi-apartment buildings up to 1000 m²,492150.6,44.5
of which: multi-apartment buildings 1000 to 5000 m²,1199830.3,29.0
of which: multi-apartment buildings over 5000 m²,148280.3,25.0
of which: e.g. groups of soc.,196242.2,31.5
Residential buildings,4442438.0,35.6
Administrative buildings,401753.0,40
Educational buildings,286624.4,34
Medical buildings,92176.7,32
Trade buildings,241105.0,39
Service buildings,79066.4,60
Recreational buildings,66515.4,54
Hotel buildings,23475.4,22
Catering buildings,40086.8,59
Sports buildings,24174.1,28
Educational and cultural buildings,63930.0,32
Transport and communication buildings,6687.8,37
Special buildings,18761.8,37
Production buildings,983762.7,53
Storage buildings,257070.0,39
Non-residential buildings,2585189.3,40.4
Total building stock in question,7027627.2,38.0
