Country,2015,2016,2017,2018,2019,2020,2023
Average of EU countries,15.3,15.2,13.1,13.6,12.7,14.8,15.5
Belgium,18.2,19.2,18.4,17.9,16.7,15.7,14.5
Bulgaria,12.9,12.3,12.2,13.0,11.6,11.0,8.4
Czech Republic,8.9,8.2,8.0,7.7,7.3,6.8,8.5
Denmark,16.1,15.9,14.9,16.4,14.9,16.8,15.0
Germany,12.8,13.1,12.5,13.4,12.0,12.0,16.0
Estonia,13.4,13.9,13.9,13.6,13.8,10.2,10.5
Ireland,13.6,13.3,12.6,11.9,12.4,16.3,21.2
Greece,15.1,14.7,13.5,12.9,12.5,12.5,13.5
Spain,15.2,15.9,11.5,15.9,14.7,19.7,23.0
France,12.6,14.0,11.1,12.7,11.5,18.0,21.1
Croatia,10.9,11.5,11.4,11.2,10.2,9.4,5.6
Italy,24.1,21.0,16.1,13.2,14.0,19.6,17.1
Cyprus,26.5,27.1,29.3,30.2,32.0,40.0,32.1
Latvia,24.4,21.9,22.8,23.5,19.3,17.5,18.8
Lithuania,17.0,18.2,15.7,14.8,14.0,10.9,8.6
Luxembourg,14.4,18.7,17.4,18.3,15.4,15.4,18.0
Hungary,25.4,26.7,24.8,22.5,22.3,20.4,12.6
Malta,10.1,9.1,8.4,7.1,7.6,6.1,7.2
Netherlands,15.7,16.3,13.5,15.8,14.7,14.8,15.4
Austria,11.7,11.2,11.9,10.4,9.4,9.1,10.5
Poland,11.9,11.6,11.9,11.6,10.8,6.0,5.7
Portugal,28.1,30.5,25.5,26.9,24.4,25.2,29.0
Romania,12.8,13.3,11.1,10.1,9.4,10.0,7.5
Slovenia,26.9,23.8,22.0,22.7,20.6,20.8,18.5
Slovakia,6.3,6.2,6.7,5.1,5.7,4.9,5.8
Finland,4.4,4.7,4.2,4.6,4.1,4.5,5.3
Sweden,7.7,7.4,7.0,7.8,7.0,7.1,4.8
Iceland,19.3,18.6,19.8,19.1,18.5,16.7,:
Norway,6.8,5.9,5.6,6.8,6.5,6.3,5.0
Switzerland,11.9,12.7,12.2,9.8,10.5,11.4,12.3
United Kingdom,14.8,16.4,17.0,17.6,—,—,—
Montenegro,33.4,26.1,23.6,24.2,25.9,22.4,—
North Macedonia,12.2,14.1,14.3,15.1,13.9,13.0,—
Albania,—,—,29.2,32.5,29.5,22.0,—
Serbia,23.4,21.8,20.8,16.6,18.0,11.7,10.4
Türkiye,39.0,38.1,36.6,36.2,36.9,34.7,32.0
Kosovo,—,—,—,21.4,—,—,—
