Indicator 1.2,2020-2030,2031-2033,2034-2035,2036-2040,2041-2045,2046-2050,Total
Residential buildings:,16363,7372,4914,103657,128267,191439,452012
of which: 43% worst-performing buildings,11381,5519,3679,86779,107775,160846,375980
Multi-apartment buildings:,8202,2475,1650,6188,6430,9622,34567
of which: 43% worst-performing buildings,4393,1326,884,3314,3444,5154,18514
of which: multi-apartment buildings up to 1000 m²,936,283,189,706,734,1099,3947
of which: multi-apartment buildings 1000 to 5000 m²,3046,919,613,2298,2388,3574,12840
of which: multi-apartment buildings over 5000 m²,410,124,83,310,321,481,1728
of which: Groups of Ev. soc.,451,136,91,340,354,529,1902
Individual:,8161,4897,3264,97470,121837,181817,417446
of which: 43% worst-performing buildings,6988,4193,2795,83465,104331,155693,357466
Non-residential buildings:,9421,5441,4147,10362,10340,9818,49529
of which: Administrative buildings,956,901,687,1717,1989,1889,8139
of which: Educational buildings,730,395,301,752,953,905,4036
of which: Medical buildings,386,115,87,218,356,338,1500
of which: Trade buildings,1096,495,377,942,1589,1508,6007
of which: Service buildings,646,216,166,414,340,322,2104
of which: Recreational buildings,606,176,134,335,344,327,1922
of which: Hotel buildings,11,15,11,28,215,205,485
of which: Catering buildings,361,142,108,270,187,177,1245
of which: Sports buildings,19,32,25,61,106,101,344
of which: Educational and cultural buildings,493,137,104,260,352,334,1680
of which: Transport and communication buildings,21,11,9,21,88,84,234
of which: Special buildings,147,42,32,81,101,96,499
of which: Production buildings,3400,2150,1638,4093,2266,2152,15699
of which: Storage buildings,549,614,468,1170,1454,1380,5635
Total,25784,12813,9061,114019,138607,201257,501541
