Indicator 1.2,2020-2030,2031-2033,2034-2035,2036-2040,2041-2045,2046-2050,Total
Residential buildings:,12824445,4021055,2680704,21279999,24820772,37076144,102703119
of which: 43% worst-performing buildings,4556419,2114039,1409359,16512457,16049961,9580521,50222756
Multi-apartment buildings:,11748023,3376012,2250675,8440030,8770811,13124843,47710394
of which: 43% worst-performing buildings,2464190,708131,472087,1770327,1839709,2752983,10007427
of which: multi-apartment buildings up to 1000 m²,525290,150952,100635,377379,392170,586852,2133277
of which: multi-apartment buildings 1000 to 5000 m²,1708868,491075,327383,1227687,1275803,1909140,6939956
of which: multi-apartment buildings over 5000 m²,230032,66104,44069,165260,171737,256991,934194
of which: Groups of Ev. soc.,889949,255743,170496,639358,664416,994247,3614210
Individual:,1076422,645043,430029,12839969,16049961,23951301,54992725
of which: 43% worst-performing buildings,787171,471710,314474,9389671,11737088,17515216,40215329
Non-residential buildings:,3573696,2537479,2626422,9099313,14826115,19515057,52178082
of which: Administrative buildings,311122,366303,379142,1313549,2565326,3376641,8312083
of which: Educational buildings,752420,284399,294369,1019847,2178402,2867349,7396785
of which: Medical buildings,282242,78864,81627,282802,777770,1023749,2527054
of which: Trade buildings,158463,166649,172490,597597,1698136,2235192,5028528
of which: Service buildings,87786,59371,61452,212904,294335,387422,1103271
of which: Recreational buildings,71146,40320,41733,144586,250351,329528,877664
of which: Hotel buildings,11144,7144,7395,25620,331660,436552,819515
of which: Catering buildings,70378,37169,38471,133286,155589,204796,639689
of which: Sports buildings,9363,22620,23413,81114,236834,311736,685080
of which: Educational and cultural buildings,236455,63162,65376,226496,516189,679440,1787118
of which: Transport and communication buildings,2602,2242,2321,8042,56153,73912,145273
of which: Special buildings,31764,16762,17349,60106,127149,167362,420492
of which: Production buildings,1443413,1156869,1197420,4148492,3869377,5093115,16908686
of which: Storage buildings,105398,235605,243864,844872,1768844,2328262,5526845
Total,16120968,6516577,5263700,30228857,39868368,56882731,154881201
