Type and purpose of buildings,Number of buildings (units),Total building area (m²)
Cultural heritage sites,499550,255434051
Of garages,23082,9231448
Religious,1799,644970
Amateur orchards,102056,6488743
Destination of the ancillary farm,1792244,2045283
Agricultural land use,7440,2742844
Agricultural,484,487966
The intended use of the plant production,491,905592
For the purpose of animal production,9391,10675079
Total (for the reasons set out in this table and other reasons described in the Methodology),2062920,198.5 million
