Indicator 1.2,2030,2040,2050
Detached houses,7566.8,6914,5038
Multi-apartment buildings,6203.9,5024,3186
of which: multi-apartment buildings up to 1000 m²,1322.5,1070.9,679.2
of which: multi-apartment buildings 1000 to 5000 m²,4302.3,3483.8,2209.6
of which: multi-apartment buildings over 5000 m²,579.1,469.0,297.4
of which: e.g. groups of soc.,661.6,535.7,339.8
Residential buildings,13770.7,11937.8,8224.6
Administrative buildings,971.6,836,497
Educational buildings,973.9,847,531
Medical buildings,315.3,276,178
Trade buildings,449.3,423,359
Service buildings,123.5,110,75
Recreational buildings,107.5,99,77
Hotel buildings,64.5,60,50
Catering buildings,120.2,102,56
Sports buildings,81.0,99,145
Educational and cultural buildings,239.9,202,109
Transport and communication buildings,6.4,6,3
Special buildings,46.0,41,30
Production buildings,2431.0,2044,1083
Storage buildings,559.5,498,344
Non-residential buildings,6489.7,5642.7,3538.4
Total building stock in question,20260.4,17580.5,11763.0
