Indicator 1.2,2030,2040,2050
Detached houses,5890.1,5054,2649
Multi-apartment buildings,4848.1,4075,2872
of which: multi-apartment buildings up to 1000 m²,1019.5,857.0,604.0
of which: multi-apartment buildings 1000 to 5000 m²,3389.6,2849.3,2008.3
of which: multi-apartment buildings over 5000 m²,439.0,369.0,260.1
of which: e.g. groups of soc.,517.0,434.6,306.3
Residential buildings,10738.2,9128.9,5521.3
Administrative buildings,784.3,669,384
Educational buildings,794.2,687,421
Medical buildings,252.2,220,139
Trade buildings,363.6,334,260
Service buildings,103.6,91,60
Recreational buildings,91.0,82,61
Hotel buildings,50.8,47,37
Catering buildings,100.4,84,45
Sports buildings,64.5,78,113
Educational and cultural buildings,199.2,168,89
Transport and communication buildings,5.5,5,3
Special buildings,37.4,34,24
Production buildings,2027.7,1703,897
Storage buildings,478.3,425,293
Non-residential buildings,5352.5,4627.5,2826.1
Total building stock in question,16090.7,13756.4,8347.4
