Energy performance class,Number of buildings in 2025 Residential,Number of buildings in 2025 Non-residential,Total building area in 2025 Residential (m2),Total building area in 2025 Non-residential (m2)
A++,8163,742,1664335,2478004
A+,17516,1045,3774871,2897352
A,5484,452,1634775,1391549
B,40682,4793,13752969,10071841
C,22039,3563,11128961,6508380
D,10204,2596,3738478,3369907
E,19614,2510,4494088,2274507
F,39229,4461,10193985,4504864
G,5752,7087,717342,712735
Not defined,457485,2024280,88891767,80607073
Total,626168,2051529,139991571,114816211
