Building type and purpose,Energy performance certificate class A++,Energy performance certificate class A+,Energy performance certificate class A,Energy performance certificate class B,Energy performance certificate class C,Energy performance certificate class D-E,Energy performance certificate class F-G,Total
Single occupancy,27797,18180,14134,9384,28406,24907,373623,496431
Bicycles,4889,2452,1355,896,1476,367,8156,19591
Multi-apartment buildings,897,570,335,314,2229,1826,33606,39777
Different social groups,46,6,9,37,91,73,1624,1886
Total residential buildings,33629,21208,15833,10631,32202,27173,417009,557685
Production and industrial use,179,166,107,135,479,996,8941,11003
For storage purposes,295,140,104,74,225,530,4976,6344
Buildings for all industrial and storage purposes,474,306,211,209,704,1526,13917,17347
Administrative,160,139,88,81,353,814,7414,9049
Science and education,38,22,12,30,235,198,4034,4569
Trade destination,350,211,179,124,472,1337,4406,7079
The purpose of the treatment,27,20,17,14,94,144,1396,1712
Hotel destinations,354,94,19,45,64,110,357,1043
Public recreation,542,243,213,184,546,267,1167,3162
Cultural,12,12,3,18,53,70,1590,1758
Cultural and educational,0,0,0,0,0,5,167,172
The purpose of the services,272,124,65,64,203,266,1678,2672
For power supply purposes,53,39,26,15,71,178,1031,1413
Transport destination,7,5,5,9,16,33,198,273
For sporting purposes,42,19,11,7,48,45,275,447
Special-purpose,36,21,4,6,44,63,427,601
Buildings for all administrative and service purposes,1893,949,642,597,2199,3530,24140,33950
Total other non-residential buildings,119,33,18,19,80,757,4761,5787
Total non-residential buildings,2486,1288,871,825,2983,5813,42818,57084
Missing data prevents classification of the energy performance certificate,8,,
Total,36115,22496,16704,11456,35185,32986,459827,614777
