Building type and purpose,Energy performance certificate class A++,Energy performance certificate class A+,Energy performance certificate class A,Energy performance certificate class B,Energy performance certificate class C,Energy performance certificate class D-E,Energy performance certificate class F-G,Total
Single occupancy,3941028,2734515,2385468,1674690,5862052,6049307,43939055,66586114
Bicycles,1058849,531484,332257,246463,499952,135841,1404893,4209739
Multi-apartment buildings,1744703,1266706,747750,791295,6114181,4664019,42802633,58131287
Different social groups,21220,7697,6862,27414,158080,135390,3241030,3597694
Total residential buildings,6765800,4540401,3472338,2739862,12634264,10984557,91387612,132524834
Production and industrial use,827760,740992,266151,294931,1089296,1592720,12337041,17148892
For storage purposes,932610,520262,243478,250982,957384,713924,4015135,7633775
Buildings for all industrial and storage purposes,1760370,1261254,509629,545913,2046680,2306644,16352176,24782667
Administrative,516646,619374,289173,224745,909927,964559,7019260,10543685
Science and education,171425,54357,19662,122365,721773,595501,6988401,8673485
Trade destination,706101,321706,381966,265747,1558573,1570007,2692629,7496730
The purpose of the treatment,54359,38267,22970,55184,305549,317712,2192306,2986347
Hotel destinations,121024,136671,39501,27940,132493,142678,617847,1218155
Public recreation,160161,102608,90487,108312,242038,89670,601351,1394625
Cultural,30733,27430,2102,9937,115793,151005,1579590,1916591
Cultural and educational,0,0,0,0,0,2445,160053,162499
The purpose of the services,172620,84385,73868,51457,147023,185680,783318,1498352
For power supply purposes,19661,10810,5961,4183,36226,74226,546306,697374
Transport destination,9066,3571,16414,8482,13630,23880,162411,237453
For sports,133773,47092,55202,18966,242378,141327,362761,1001499
Special-purpose,58143,34294,7669,4003,52035,77884,326109,560136
Buildings for all administrative and service purposes,2153712,1480564,1004976,901322,4477438,4336576,24032342,38386931
Other non-residential buildings,66785,20696,25573,18609,73375,372068,2231384,2808491
Total non-residential buildings,3980867,2762514,1540179,1465845,6597494,7015288,42615903,65978089
Missing data prevents classification of the energy performance certificate,1261,,
Total,10746666,7302915,5012517,4205708,19231758,17999845,134003514,198504183
