number of VBO's 2020 non-residential building none f ti sourc e,tilit NL CBS,i CBS,services CBS,services BAG,Relevant to EPBD IV (but not in sampling) This research,exception EPBD IV This research,relevant EPBD IV (and sample) This research
meeting,62.116,,62.116,60.225,,-15.195,45.030
cell (detention),58,,58,58,-58,,
health care,22.815,,22.815,19.623,,-1.404,18.218
industry,198.966,-198.966,0,,,,
office,96.259,,96.259,87.298,,-10.648,76.643
accommodation,125.117,,125.117,143.844,,-137.425,6.419
education,13.869,,13.869,13.132,,-963,12.169
sport,9.707,,9.707,9.164,,-442,8.722
shop,129.194,,129.194,123.341,,-11.707,111.641
other uses,439.929,-439.929,0,,,,
multiple functions,49.529,,49.529,49.529,-49.529,,
TOTAL 1.147.559,,,508.664,506.214,"-49,587 cell,",-177.784,"278,842"
comments,,-638.895,services,services,multi-use,exception and,relevant
,,other,,,,,
,,,,,buildings,buildings for,buildings for
,,functions,,,,,
,,,,,,EPBD IV,EPBD IV
,,and,,,,,
,,industry,,,,,
,,out,,,,,
exceptions EPBD IV (EPBD IV text,,,,,,,
,,Article 9(6),,,,,
defense,,,,,,,-689
small utility,,,,,,,-6.088
agriculture,,,,,,,-1.201
multiple exceptions,,,,,,,-3.494
monument,,,,,,,-27.281
religious,,,,,,,-3.619
holiday homes,,,,,,,-135.412
