Final energy per carrier,2020-2030,2030-2040,2040-2050
Gas,-860,-1.720,-2.570
Electricity,-140,-290,-440
Heat,80,150,220
Total Final,-930,-1.870,-2.800
Primary fossil (e.g. PEF from NTA8800),-1.010,-2.020,-3.030
Final energy by type of use,,,
Space heating,-610,-1.220,-1.820
Space cooling,30,60,90
Domestic hot water,-170,-330,-500
Ventilation,-50,-90,-140
Primary fossil by type of use (e.g. PEF NTA8800),,,
Space heating,-600,-1.190,-1.780
Space cooling,50,90,140
Domestic hot water,-180,-360,-550
Ventilation,-70,-140,-200
