Policy measure/grant,Public money spent,European funding,Private money spent,Listed in 2020 LTRS
Energy Investment Deduction (EIA),"€842,000,000",€0.00,N.B.,Yes
Reduced VAT rate for insulation worka,"€34,000,000",N/A,N/A,Yes
National Heat Fund (formerly Energy savings fund),"€335,390,000",€0.00,N.B.,Yes
Sustainable Energy Investment Grant (ISDE)b,€ 512.430.000,€0.00,"€1,939,000,000",Yes
Incentives for Construction and Maintenance of Sports facilities (BOSA),€ 233.792.000,€0.00,N.B.,
Stimulating Sustainable Energy Production and Climate Transition (SDE++),€ 4.326.310.000,€0.00,N.B.,
Incentive scheme for natural gas- free rental homes (SAH),€ 65.269.000,€0.00,N.B.,Yes
Environmental Investment Deduction (MIA) and Random Depreciation Environmental,"€734,000,000",€0.00,N.B.,Yes
Subsidy sche me Sustainability and Maintenance Rental Houses (SVOH),"€ 10,825,000",€0.00,N.B.,
Sustainable Social Real Estate Grant Scheme (DUMAVA),"€ 163,997,000",€0.00,N.B.,
Subsidy scheme Sustainability for Associations of Owners (SVVE)b,"€5.760,000",€0.00,N.B.,
Subsidy scheme Process support Renovation Flows (SPOR)c,€ 1.700.000,€0.00,N.B.,
Sustainability Social Real estate,"€ 163,997,000",N.B.,N.B.,
Salvage scheme,€1 951 000 000,N.B.,N.B.,
Local Approach to National Insulation Program (NIP),€ 306.700.000,N.B.,N.B.,
Energy price cap,"€ 3,798,000,000",N.B.,N.B.,
SPUK Energy poverty,€ 358.959.000,N.B.,N.B.,
Natural Gas Free Zones (PAW) programme,€ 117.600.000,N.B.,N.B.,
Renovation accelerator,€8.739.000,N.B.,N.B.,
Subsidy Energy Saving Own Home (SEEH),"€198,446,000",N.B.,N.B.,Yes
