Building category,# of buildings,Total floor area (m2),< 2020,2020,2021,2022,2023,2024,2025-2027,N/A
Casă individuală / Single-family house,437,63156,-,343,-,24993,36339,89,1042,350
Bloc de apartamente / Apartment building,3088,7270943,13679,166657,186603,268757,293727,187163,5806051,348306
Clădire comercială / Commercial,0,-,-,-,-,-,-,-,-
Clădire birouri / Office,437,867126,1694,4792,18753,25343,66122,41391,664834,44197
Clădire educație / Education,986,2276429,-,29636,406589,64464,88258,49587,1623667,14227
Hotel/Pensiune/Restaurant,6,4107,-,-,-,-,-,-,4107,-
Clădire sănătate / Health,187,604100,-,8116,28808,14271,100153,43064,363310,46379
Clădire culturală / Culture,486,246293,3129,7574,12612,20261,11013,17903,76131,97671
Clădire sport / Sport,37,73225,-,-,783,4756,1578,4828,37764,23517
Alte clădiri / Other,7,1105,-,-,-,-,-,-,919,186
Total,5671,11406484,18501,217119,654147,422845,597189,344025,8577824,574834
