Segment,EPC class,missing,<1960,1960-1979,1980-1990,1991-1999,2000-2009,2010-2014,2015-2019,2020-2023,2024+,Total
Non-residential,Total,187,948,2034,920,509,2256,950,1970,2745,689,13208
Non-residential,A+,1,7,15,7,4,17,7,14,20,5,97
Non-residential,A,10,52,111,50,28,123,52,107,149,38,719
Non-residential,B,48,243,522,236,131,579,244,506,704,177,3390
Non-residential,C,43,218,469,212,117,520,219,454,632,159,3043
Non-residential,D,30,151,324,146,81,359,151,313,437,110,2101
Non-residential,E,16,81,175,79,44,194,82,169,236,59,1135
Non-residential,F,10,51,109,49,27,120,51,105,147,37,705
Non-residential,G,29,145,311,141,78,345,145,301,419,105,2018
Residential,Total,720,5857,16105,10535,1941,4743,2817,10833,19588,3993,77133
Residential,A+,2,15,42,27,5,12,7,28,51,10,201
Residential,A,34,278,764,500,92,225,134,514,929,189,3659
Residential,B,250,2033,5589,3656,673,1646,978,3759,6797,1386,26766
Residential,C,133,1084,2982,1950,359,878,522,2006,3626,739,14280
Residential,D,75,608,1671,1093,201,492,292,1124,2032,414,8002
Residential,E,48,391,1076,704,130,317,188,724,1309,267,5153
Residential,F,39,317,870,569,105,256,152,586,1059,216,4169
Residential,G,139,1132,3112,2035,375,916,544,2093,3785,772,14903
Total,Total,907,6806,18139,11455,2449,6999,3767,12803,22332,4683,90341
