Area of residence and building type,Total (thousands),Before 1919,1919-1945,1946-1960,1961-1970,1971-1980,1981-1990,1991-2000,2001-2010,2011-2015,2016-2021,N/A
ROMANIA - Residential buildings (exclusive collective living spaces),5479,95.0,480.6,1100.5,1233.4,585.6,339.8,382.8,398.7,190.3,429.3,
Detached house,5179,87.4,461.6,1066.4,1162.2,531.1,299.3,369.8,372.8,178.7,408.6,
Semi-detached house (duplex),55,2.0,4.8,7.0,7.4,5.3,3.0,4.0,8.1,4.4,8.6,
Row house (connected),73,4.8,10.5,15.5,13.4,8.5,4.2,4.9,5.2,2.3,3.4,
Apartment blocks,172,0.8,3.7,11.7,50.4,40.7,33.4,4.3,12.6,4.9,8.7,
URBAN - Residential buildings (exclusive collective living spaces),1496,36.0,127.9,257.1,352.9,166.6,102.0,91.5,133.4,58.0,122.2,
Detached house,1288,29.7,114.7,237.1,299.9,125.3,70.4,84.4,116.4,51.2,111.1,
Semi-detached house (duplex),27,1.6,3.4,3.7,3.6,2.7,1.2,1.8,4.1,1.9,3.2,
Row house (connected),32,3.9,6.5,6.2,4.8,2.9,1.2,1.7,2.2,0.9,1.3,
Apartment blocks,149,0.7,3.3,10.1,44.6,35.7,29.2,3.6,10.6,4.0,6.6,
RURAL - Residential buildings (exclusive collective living spaces),3983,59.0,352.6,843.4,880.5,419.0,237.8,291.3,265.3,132.4,307.1,
Detached house,3892,57.7,346.9,829.3,862.3,405.8,228.9,285.4,256.4,127.5,297.5,
Semi-detached house (duplex),27,0.3,1.4,3.3,3.8,2.6,1.8,2.2,4.0,2.5,5.4,
Row house (connected),41,0.9,4.0,9.3,8.6,5.6,3.0,3.2,3.0,1.3,2.0,
Apartment blocks,23,0.1,0.3,1.6,5.8,5.0,4.1,0.6,2.0,1.0,2.1
