Instrument (official title),Scope & Principles,Implementing Documents,Competent Authority,Status / Last Update
Legea nr. 372/2005 privind performanța energetică a clădirilor (consolidată 2024),"Backbone of EPB in Romania: EPC regime, requirements for new buildings (NZEB), documentation and inspections; basis for MEPS compliance through EPC evidence.",Metodologia Mc 001-2022; modele EPC (MDLPA 03.03.2023); Ordin 2237/2010 – acreditare; proceduri QA.,MDLPA; ISC; professional bodies (auditors).,Consolidated 2024.
Metodologia Mc 001-2022 (OMDLPA 16/2023) – Metodologie de calcul al performanței energetice a clădirilor,"Defines EPB calculation, integration of systems/RES, EPC outputs and documentation; mandatory for EPC issuance and compliance checks.",Monitorul Oficial 46/17.01.2023; MDLPA publication; EPC templates.,MDLPA.,In force since Jan 2023.
Ordin nr. 2237/2010 – Regulament privind atestarea auditorilor energetici pentru clădiri,"Defines grades, competencies, practice renewal and QA; ensures EPC integrity.",Publicat în M.Of. nr. 683/08.10.2010; actualizări ulterioare.,MDLPA.,Active; subject to procedural updates.
OUG nr. 18/2009 – Creșterea performanței energetice a blocurilor de locuințe,"Framework for municipal renovation of multi-apartment buildings: roles, documentation, steps, contracts and financing.",Ordin 163/2009 – Norme metodologice.,MDLPA; local authorities; HOAs.,In force; versions updated to 2023.
OUG nr. 69/2010 – Reabilitare termică prin credite garantate de stat,Loan-guarantee scheme for thermal rehabilitation of dwellings; complements grants and broadens access.,HG 736/2010 – Norme; plafoane anuale de garanții.,Ministry of Finance; MDLPA.,In force between 2010 and October 2025; repealed by OUG 52 of 2025.
OUG nr. 92/2024 – Înființarea rețelei naționale de ghișee unice de eficiență energetică (OSS),Creates county/municipal OSS desks and a national portal; prioritizes vulnerable consumers; streamlines access to finance and permits.,Instrucțiuni MDLPA; acte locale de organizare; integrare digitală.,MDLPA; local authorities.,In force (M.Of. 613/29.06.2024).
OUG nr. 163/2022 – Completarea cadrului de promovare a energiei din surse regenerabile (prosumatori),"Completes prosumer framework (individual & collective), connection and settlement; enables on-site RES in buildings.",ANRE Ordin 15/2022 și 95/2022; consultări ulterioare 2024–2025.,Ministry of Energy; ANRE.,In force; targeted amendments ongoing.
ANRE Ordin nr. 15/2022 și Ordin nr. 95/2022 – reguli de comercializare pentru prosumatori,Sets settlement/compensation rules up to 400 kW per POD; modifies earlier frameworks; clarifies billing.,MO 215/04.03.2022; amendments 29.06.2022.,ANRE.,Active; subject to further adjustment.
AFM 'Casa Verde Fotovoltaice' — Ghid de finanțare 2024 (Ordin 2045/20.09.2024),Grants for residential PV + storage (2024); accredited installer routes and MIS tracking.,Ghid 2024; portal AFM; liste instalatori.,AFM.,Active calls 2024–2025.
Legea nr. 121/2014 privind eficiența energetică (consolidată),"Horizontal EE framework: targets, programmes, public-sector leadership, audits and planning.",HG/ordine subsecvente; PNAEE; raportare NECP.,Ministry of Energy.,Consolidated; staged updates pending.
Legea nr. 325/2006 a serviciului public de alimentare cu energie termică (actualizată),Regulates DH service; supports rehabilitation and efficient DH trajectories; enables building-side substation upgrades and low-temperature operation.,Strategii locale; Modernization Fund; state aid.,Local authorities; ME; ANRE (select cases).,Updated 2023.
Ordonanța nr. 16/2025 — Transpunerea Art. 17(15) EPBD 2024/1275 (interdicție stimulente publice pentru cazane fosile),Bans public incentives for new stand-alone fossil-fuel boilers; defines exceptions and transitional rules; aligns funding with decarbonisation.,Note de fundamentare; instrucțiuni către programe publice (AFM/PNRR).,Government of Romania; MDLPA; ME; AFM.,In force (22.08.2025).
Reglementări SRI — Delegated (EU) 2020/2155 & Implementing (EU) 2020/2156,Optional EU SRI scheme; provides methodology and indicators for smart readiness.,"OJ L 431, 21.12.2020.",European Commission; national adoption option.,In force at EU level.
EPBD recast — Directive (EU) 2024/1275,"Sets overall framework including Art. 9 (MEPS), Art. 10 (solar in buildings), Art. 15 (SRI/TBS), Art. 17(15) (no public incentives for fossil boilers).","OJ L 2024/1275, 08.05.2024.",EU; national transposition ongoing for specific articles.,In force at EU level.
EED recast — Directive (EU) 2023/1791,Horizontal energy efficiency obligations; public-sector leadership; efficient DH&C definition and trajectories.,"OJ L 2023/1791, 10.10.2023.",EU; national transposition multiple acts.,In force at EU level.
RED III — Directive (EU) 2023/2413 (amending RED II),Strengthens RES targets including in buildings and heat; communities and prosumers provisions.,OJ L 2023/2413.,EU; national implementation via OUG 163/2022 and related acts.,In force at EU level.
Legea nr. 10/1995 privind calitatea în construcții (consolidată),"Overarching quality law; sets the construction quality system, technical regulations and responsibilities across lifecycle.",Reglementări tehnice în construcții; verificatori; recepție; post-utilizare.,ISC; MDLPA.,Consolidated 2022–2023 updates.
