No.,Bank Name,Green mortgage loans / green investment or consumer loans,Amount,Tenor,Upfront payment / own contribution,Interest rate (p.a.),Loan for EE renovation/improvement?
1,Banca Transilvania,Green mortgage home loan: acquisition / refinancing of an energy class A or secured by an energy class A residential property,"7,000 - 1,200,000 RON",up to 30 years,15% of the value of the real estate,"for RON loans 2Y or 3Y fixed 5.05% / 6.90%, thereafter IRCC+ 1.90% - 2.80% OR Variable: IRCC+2.95% (Margin incentives for income collection in bank's accounts)",No
2,Banca Comercială Română (BCR),Purchase or refinancing of properties certified by Romanian Green Building Council (RoGBC); Purchase / refinancing of EE class A homes built from year 2000 onwards or EE class B certified since 16.02.2023,"45,000 RON - 4,300,000 RON",up to 30 years,"25% (homeowners), 15% (non-homeowners), 0% (refinancing existing mortgages)",4.79%/4.79% fixed for the first 3 years. variable thereafter IRCC + 2.10% / 3.30% (Margin incentives for income collection in bank's accounts),No
3,CEC Bank,Purchase of a home with construction permit issued from 2021 onward and energy consumption under 162 kWh/m²/year (per EPC),"Max 2,800,000 RON",up to 35 years,15%,Variable interest rate: IRCC + 2.20% - 2.70% (Margin incentives for income collection in bank's accounts),No
4,BRD – Groupe Société Générale,Purchase or refinancing of properties certified by RoGBC,"min 10,000 EUR (or RON equivalent), max loan amount depends on the value of the real estate collateral provided",up to 30 years,15%,"EUR loans: EURIBOR 6M + 3.95%; RON loans for EE class A homes: VARIABLE (IRCC + 2.25%–2.94%) OR 3Y fixed rates (from 5.47% to 5.68%), thereafter IRCC+ 2.29% to 2.77%, margin incentives contingent on down payment levels and income in bank's accounts.",No
5,Raiffeisen Bank SA,Purchase of a property holding the Green Homes certification granted by RoGBC or with an EPC certificate class A or superior,"EUR 5,000 - 300,000 (RON equivalent)",up to 30 years,15%,"3Y or 5Y fixed: 4.70% - 7.20%, thereafter IRCC + 2% - 3.90% (fixed interest rate and margin incentives contingent on income collection in bank's accounts)",No
6,ING Bank NV (Bucharest Branch),"The construction, purchase, renovation, or improvement of a dwelling","RON 13,000 - max 75% of the appraised value of the mortgaged property",up to 30 years,0,IRCC+ 3.95%/4.25%,No
7,UniCredit Bank SA,"Financing / refinancing the arrangement, renovation, or improvement of the energy performance of a dwelling (requires mortgage on the financed property or another eligible property)","EUR 15,000 - 100,000, max 30% of the appraised value of the property to be renovated",up to 15 years,N/a,IRCC + 4%,Yes
7b,UniCredit Bank SA,"Purchase of a completed property/dwelling classified in energy efficiency class A or higher, according to the EPC","max EUR 350,000 (RON equivalent)",up to 35 years,15%,"IRCC+2.10% - 3.10% OR 3Y or 5Y fixed: 4.99% - 7.50%, thereafter IRCC + 2.20% - 2.60% (fixed interest rate / interest margin contingent on certain conditions)",No
8,Exim Banca Românească,"Purchase of a completed property/dwelling classified in energy efficiency class A or higher, according to the EPC, or holding the RoGBC Green Homes certification","max RON 2,000,000",up to 35 years,15%,"3Y fixed: 4.99%, thereafter IRCC + 2.29% (lowered if income collection in bank's accounts)",No
9,Garanti Bank,Purchase of a completed property/dwelling holding the RoGBC Green Homes certification,"min 10,000 EUR (in RON equivalent), no max",up to 30 years,15%,"3Y fixed: min 5.91%, thereafter IRCC + 2.25% (contingent on certain conditions)",No
10,Libra Internet Bank,"Green Mortgage Loan for Green Homes, certified or in certification process",,up to 35 years,15%,"3Y fixed: 7.84% fixed for the first 3 years, thereafter IRCC + 1.90%",No
11,Vista Bank,"Financing/refinancing of acquisition, modernization, extension, construction of residential properties that are certified or pre-certified as Green Homes by RoGBC","Min RON 33,000 up to 85% of the collateral value for RON loans; min EUR 7,500 up to 80% for EUR loans",up to 35 years,15%,For RON: IRCC + 3.10% / 2.35% (lowered if income in bank); For EUR: EURIBOR 6M + 5.05% / 3.25% (margin incentive contingent on income collection in bank's account and loan value < 70% of collateral value),No
12,Banca Comercială Intesa Sanpaolo,Green mortgage home loan: acquisition of an energy class A residential property or refinancing secured by an energy class A residential property,"max EUR 400,000 (RON equivalent)",up to 35 years,15%,"variable interest rate: IRCC + 2.75%/ 2.25% (lowered if income collection in bank's account) OR 3Y fixed: 5.49%, thereafter IRCC + 2.75/ 2.25% (margin incentive contingent on certain conditions)",No
13,ProCredit Bank,"Investment loan for sustainable upgrades: Heating & cooling solutions, insulation, energy generation & efficiency, household appliances","max RON 150,000",5 years,0,7.40% fixed or variable IRCC + 6% / 8% (depending on income collection in bank's accounts),Yes
