Description of the actual use of the building or part of the building,Area [1000 m2]
Building stock,90305
Residential buildings,66525
Single-dwelling buildings,48815
Multi-dwelling buildings,17710
Services sector: public buildings,9633
Residential buildings for specific social groups,1176
Public administration buildings,1034
Culture and entertainment buildings,539
Museums and libraries,486
Buildings for education and scientific research,3710
Health care buildings,1121
Sports halls,1274
Transport and el. communications,294
Services sector: private services sector buildings,14147
Hotels,1204
Restaurant buildings,1507
Other administrative and office buildings,6197
Shops,4870
Arenas and casinos,369
