Autonomous Community,Main dwelling,Main dwelling %,Non-main dwelling,Non-main dwelling %,TOTAL
ANDALUSIA,3.241.130,69.36%,1.431.877,30.64%,4.673.007
ARAGON,540.225,64.21%,301.128,35.79%,841.353
ASTURIAS,446.569,66.22%,227.773,33.78%,674.342
BALEARIC ISLANDS,441.536,67.71%,210.587,32.29%,652.123
CANARY ISLANDS,820.315,75.35%,268.385,24.65%,1.088.700
CANTABRIA,238.230,62.10%,145.412,37.90%,383.642
CASTILE AND LEON,1.025.679,56.05%,804.216,43.95%,1.829.895
CASTILE-LA MANCHA,799.695,59.36%,547.578,40.64%,1.347.273
CATALONIA,2.989.357,76.35%,925.770,23.65%,3.915.127
CEUTA,25.534,87.01%,3.813,12.99%,29.347
AUTONOMOUS COMMUNITY OF VALENCIA,2.022.501,61.55%,1.263.285,38.45%,3.285.786
EXTREMADURA,434.364,62.18%,264.141,37.82%,698.505
GALICIA,1.091.041,62.07%,666.698,37.93%,1.757.739
MADRID,2.546.489,86.12%,410.452,13.88%,2.956.941
MELILLA,25.534,87.01%,3.813,12.99%,29.347
MURCIA,540.497,64.03%,303.603,35.97%,844.100
NAVARRE,256.330,77.42%,74.774,22.58%,331.104
BASQUE COUNTRY,919.503,85.53%,155.573,14.47%,1.075.076
LA RIOJA,132.241,62.57%,79.092,37.43%,211.333
TOTAL,18.536.616,69.62%,8.087.092,30.38%,26.623.708
