Year of construction,< 60 m²,61-90 m²,91-120 m²,121-150 m²,151-180 m²,> 180 m²,TOTAL
> 2010,35.600,85.000,67.800,35.300,11.400,22.500,257.600
2006-2010,170.100,600.400,335.800,135.300,81.000,132.100,1.454.700
2001-2005,116.700,697.000,444.400,198.200,109.400,180.400,1.746.100
1991-2000,273.400,1.346.100,796.400,313.000,193.400,306.200,3.228.500
1981-1990,166.600,1.074.500,665.800,237.500,120.400,149.100,2.413.900
1971-1980,361.300,1.787.300,907.900,228.800,113.600,119.500,3.518.400
1961-1970,660.200,1.469.200,521.700,144.900,70.700,73.900,2.940.600
1951-1960,301.800,564.400,206.600,82.100,32.600,54.900,1.242.400
1941-1950,109.300,197.800,108.300,42.300,27.800,38.400,523.900
< 1940,270.300,419.800,319.000,145.900,86.000,187.100,1.428.100
TOTAL,2.465.300,8.241.500,4.373.700,1.563.300,846.300,1.264.100,18.754.200
% (of total),13.1%,43.9%,23.3%,8.3%,4.5%,6.7%,
