Climatic zone,< 1941,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,> 2020,TOTAL,%
A2,10.345,13.636,33.253,63.940,9.217,1.448,239,132.078,1.5%
A3,17.885,22.746,68.822,137.019,21.769,8.321,1.592,278.154,3.1%
A4,9.438,10.448,33.586,73.671,8.572,2.630,709,139.054,1.6%
B2,1.407,1.521,3.292,8.487,1.060,158,7,15.932,0.2%
B3,157.479,102.725,216.716,353.153,63.723,21.165,4.773,919.734,10.4%
B4,55.622,73.705,157.235,359.406,63.970,16.780,3.264,729.982,8.2%
C1,110.401,54.443,124.127,236.969,75.817,19.198,3.650,624.605,7.0%
C2,86.130,49.519,154.753,213.470,34.034,13.211,3.904,555.021,6.3%
C3,179.433,85.897,155.460,325.218,60.003,13.708,2.667,822.386,9.3%
C4,102.584,97.075,109.116,271.105,56.625,14.906,2.240,653.651,7.4%
D1,151.996,56.362,108.246,205.936,45.582,10.587,2.460,581.169,6.5%
D2,232.655,70.540,142.742,295.388,59.746,15.336,4.160,820.567,9.2%
D3,262.459,194.134,295.861,670.888,147.765,42.825,10.660,1.624.592,18.3%
E1,266.340,95.716,115.526,226.892,53.144,11.517,2.160,771.295,8.7%
A3,19.874,23.540,50.961,97.870,14.935,2.799,346,210.325,2.4%
TOTAL,1.664.048,952.007,1.769.696,3.539.412,715.962,194.589,42.831,8.878.545,
