Climatic zone,< 1941,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,> 2020,TOTAL,%
A2,1.790.058,2.402.246,8.662.851,25.202.298,3.958.812,736.080,211.554,42.963.899,1.1%
A3,5.632.410,5.402.332,38.914.527,77.902.132,13.550.999,5.522.848,1.825.276,148.750.523,4.0%
A4,1.423.595,1.983.399,14.148.762,36.429.793,5.952.353,1.471.034,624.389,62.033.325,1.7%
B2,196.240,223.040,924.005,3.759.614,398.111,63.872,15.631,5.580.513,0.1%
B3,39.116.070,29.096.217,127.756.555,208.121.374,39.578.844,10.799.060,3.647.266,458.115.387,12.2%
B4,12.105.273,16.346.521,72.766.915,152.058.286,28.517.335,9.916.553,3.055.626,294.766.509,7.8%
C1,31.601.198,22.370.665,92.261.426,140.689.168,35.692.616,8.299.888,2.051.524,332.966.486,8.9%
C2,33.934.199,20.405.112,118.061.573,119.031.921,18.510.658,7.315.026,2.785.250,320.043.738,8.5%
C3,39.398.182,18.456.299,57.607.755,119.661.396,25.661.159,5.320.249,1.485.188,267.590.230,7.1%
C4,20.766.048,19.505.787,33.710.863,86.758.362,19.433.537,4.822.192,841.583,185.838.371,4.9%
D1,41.066.778,19.991.008,68.831.623,111.738.028,25.689.279,5.804.965,1.692.661,274.814.342,7.3%
D2,57.182.859,19.243.458,64.328.432,122.009.030,24.317.834,5.165.705,1.919.616,294.166.934,7.8%
D3,76.601.381,65.849.607,186.076.195,304.508.382,72.173.265,23.143.771,8.267.083,736.619.685,19.6%
E1,65.906.690,25.005.498,44.576.853,88.203.504,18.793.326,3.972.441,908.172,247.366.485,6.6%
A3,3.675.614,5.433.436,21.122.404,45.106.781,6.786.261,1.386.630,257.772,83.768.897,2.2%
TOTAL,430.396.594,271.714.626,949.750.739,1.641.180.069,339.014.387,93.740.315,29.588.591,3.755.385.320,
