Climatic zone,< 1941,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,> 2020,TOTAL,%
A2,12.763,17.513,65.871,187.553,28.507,5.763,1.560,319.530,1.2%
A3,44.676,52.869,372.119,600.935,100.533,38.048,12.903,1.222.083,4.6%
A4,11.726,19.042,129.567,287.390,48.496,9.879,4.584,510.684,1.9%
B2,1.617,1.688,8.019,28.353,2.723,425,42,42.867,0.2%
B3,244.369,211.570,1.027.263,1.474.485,281.554,69.071,25.478,3.333.790,12.5%
B4,82.210,131.413,640.889,1.158.751,208.934,74.495,24.786,2.321.478,8.7%
C1,191.350,171.162,679.589,894.732,216.274,45.637,12.915,2.211.659,8.3%
C2,269.309,181.567,1.135.688,861.782,133.666,48.877,19.898,2.650.787,10.0%
C3,224.209,122.157,411.387,759.526,168.405,30.801,9.117,1.725.602,6.5%
C4,122.786,121.161,231.531,522.938,114.719,25.117,4.573,1.142.825,4.3%
D1,234.820,146.415,514.893,757.178,193.539,39.038,12.597,1.898.480,7.1%
D2,291.795,120.326,448.298,744.989,151.871,28.228,11.379,1.796.886,6.8%
D3,502.055,488.180,1.591.624,2.030.715,489.120,146.372,56.675,5.304.741,20.0%
E1,324.528,140.385,291.342,540.653,113.742,23.410,5.570,1.439.630,5.4%
A3,27.176,43.715,179.892,349.294,50.387,10.470,1.939,662.873,2.5%
TOTAL,2.585.389,1.969.163,7.727.972,11.199.274,2.302.470,595.631,204.016,26.583.915,
