Real estate use,< 1941,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,> 2020,TOTAL
Residential,1.664.048,952.007,1.769.696,3.539.412,715.962,194.589,42.831,8.878.545
Commercial,12.418,9.513,19.836,34.120,6.415,2.849,613,85.764
Administrative,8.128,4.653,9.413,22.482,5.376,1.318,235,51.605
Catering,4.996,3.321,6.492,13.164,2.920,987,155,32.035
Activi. Recreational,480,299,689,1.000,169,38,5,2.680
Sport,574,944,5.764,17.063,6.269,1.735,185,32.534
Public Residential,5.531,2.418,6.563,15.904,4.661,1.736,392,37.205
Cultural,2.335,998,1.298,3.410,1.183,182,20,9.426
Places of worship,26.055,3.543,3.593,3.951,951,297,28,38.418
Healthcare,1.679,1.419,2.263,6.822,2.511,666,84,15.444
Teacher,3.794,4.436,8.209,11.863,4.811,1.161,154,34.428
Transport,3,10,86,248,159,27,4,537
Other,4.651,2.047,5.048,14.416,4.944,1.715,298,33.119
TOTAL,1.734.692,985.608,1.848.950,3.683.855,756.331,207.300,45.004,9.251.740
