no of buildings,< 1941,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,> 2020,TOTAL,%
A2,438,434,1.093,2.316,414,105,23,4.823,1.3%
A3,1.382,1.129,3.285,6.472,1.408,550,105,14.331,3.8%
A4,530,369,1.490,2.898,651,257,43,6.238,1.7%
B2,55,43,566,673,54,11,0,1.402,0.4%
B3,6.559,3.996,8.989,16.471,4.368,1.632,255,42.270,11.3%
B4,,,,,,,30.809,8.3%
C1,5.469,2.179,5.423,10.690,3.343,1.067,206,28.377,7.6%
C2,5.303,2.443,6.217,9.296,2.329,810,143,26.541,7.1%
C3,4.706,2.340,4.552,11.556,3.306,943,124,27.527,7.4%
C4,3.062,2.540,3.631,9.193,2.829,1.011,147,22.413,6.0%
D1,8.646,2.434,4.767,9.156,2.800,801,129,28.733,7.7%
D2,8.928,2.663,4.956,11.130,3.285,908,173,32.043,8.6%
D3,7.965,5.528,11.063,25.323,7.857,2.468,470,60.674,16.3%
E1,13.457,3.553,4.336,9.438,3.008,704,109,34.605,9.3%
A3,1.243,1.011,2.808,6.142,918,257,30,12.409,3.3%
TOTAL,70.644,33.601,69.254,144.443,40.369,12.711,2.173,373.195,
