Area (m²),< 1941,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,> 2020,TOTAL,%
A2,249.683,180.819,923.678,4.471.783,1.143.643,353.011,99.227,7.421.844,1.2%
A3,1.353.889,1.161.716,4.318.430,13.473.787,4.735.371,2.078.326,433.465,27.554.982,4.6%
A4,341.856,302.762,1.580.408,5.099.056,1.839.737,1.008.042,237.494,10.409.355,1.8%
B2,19.767,16.381,1.810.952,2.263.662,481.504,30.435,0,4.622.700,0.8%
B3,5.000.270,3.655.956,13.110.230,32.423.845,12.521.699,6.326.609,1.015.189,74.053.798,12.5%
B4,2.281.141,1.930.369,6.068.478,19.376.415,8.341.768,2.976.163,878.066,41.852.399,7.0%
C1,3.889.236,2.665.740,11.485.529,26.494.723,10.541.270,3.065.835,634.023,58.776.355,9.9%
C2,4.902.577,2.616.667,11.037.161,24.005.967,9.989.903,4.198.842,1.361.001,58.112.118,9.8%
C3,3.228.010,1.401.424,3.907.781,13.866.989,6.067.125,2.732.752,330.982,31.535.063,5.3%
C4,1.954.128,1.635.498,3.249.505,8.988.017,3.666.919,1.482.947,223.390,21.200.404,3.6%
D1,5.240.324,2.300.269,6.774.311,17.074.456,7.152.123,2.529.709,490.265,41.561.457,7.0%
D2,5.429.383,2.077.395,5.384.143,14.748.217,5.907.022,2.449.841,744.060,36.740.060,6.2%
D3,8.591.330,6.495.445,17.065.886,52.670.094,27.150.888,12.501.196,2.848.289,127.323.127,21.4%
E1,5.860.619,2.023.965,3.827.918,12.701.455,4.518.705,1.116.499,254.435,30.303.595,5.1%
A3,899.362,951.066,3.782.223,13.849.953,1.963.871,1.287.485,163.703,22.897.663,3.9%
TOTAL,49.241.574,29.415.470,94.326.634,261.508.417,106.021.546,44.137.690,9.713.588,594.364.919,
