no. buildings,< 1941,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,TOTAL
B4 Multi-family,0,0,0,0,0,0,0
B4 Single-family,150,186,0,0,0,0,335
B4 TOTAL,150,186,0,0,0,0,335
C1 Multi-family,9.427,3.781,3.805,1.724,0,0,187.38
C1 Single-family,43.573,16.088,26.743,19.358,0,0,105.762
C1 TOTAL,47.188,24.562,37.539,16.324,0,0,124.500
C2 Multi-family,17.235,8.475,6.213,368,0,0,32.291
C2 Single-family,29.953,16.087,31.327,15.957,0,0,93.323
C2 TOTAL,63.879,35.963,94.061,108.487,0,0,125.614
C3 Multi-family,14.004,6.017,9.532,5.204,0,0,34.757
C3 Single-family,100.370,45.935,63.513,53.296,0,0,263.114
C3 TOTAL,114.373,51.953,73.045,58.500,0,0,297.871
C4 Multi-family,7.949,6.203,10.198,17.314,0,0,41.664
C4 Single-family,62.394,58.291,56.964,73.487,0,0,251.137
C4 TOTAL,70.342,64.494,67.162,90.802,0,0,292.801
D1 Multi-family,25.275,13.735,31.579,38.378,11,0,108.978
D1 Single-family,118.790,37.149,59.463,107.546,309,0,323.256
D1 TOTAL,144.065,50.884,91.042,145.924,320,0,432.234
D2 Multi-family,26.472,10.943,28.516,37.489,16,0,103.437
D2 Single-family,196.967,56.265,99.527,183.128,324,0,536.212
D2 TOTAL,223.439,67.208,128.043,220.617,341,0,639.648
D3 Multi-family,37.022,32.678,73.460,86.469,40,0,229.669
D3 Single-family,212.569,150.633,184.853,406.158,313,0,954.527
D3 TOTAL,249.591,183.311,258.313,492.627,353,0,1.184.196
E1 Multi-family,32.058,15.440,26.962,45.508,1.012,0,120.979
E1 Single-family,234.137,80.292,88.473,173.237,4.769,77,580.984
E1 TOTAL,266.195,95.732,115.435,218.745,5.781,77,701.964
TOTALS,1.168.344,558.199,801.128,1.264.621,6.795,77,3.799.163
