Property use,Not stated,< 1941,1941-1960,1961-1980,1981-2007,2008-2014,2015-2020,> 2020,TOTAL
RESIDENTIAL,65.144,2.818.752,2.126.060,8.139.522,11.166.125,1.770.143,378.385,119.784,26.583.915
TERTIARY,44.197,745.923,382.788,2.327.093,6.893.600,1.403.645,253.158,84.727,12.135.131
Warehouse Car park,7.891,158.566,103.618,1.287.520,5.375.488,1.196.399,214.003,78.191,8.421.676
Industrial,29.695,432.857,152.363,343.838,580.024,89.529,18.791,2.254,1.649.351
Commercial,942,86.025,85.500,493.002,581.030,54.990,8.965,1.992,1.312.446
Adminis.,283,13.493,14.991,85.968,143.542,30.821,2.690,1.042,292.830
Hospitality and,2.574,11.173,7.005,60.805,114.428,7.836,2.718,512,207.051
Sport,790,1.397,2.420,18.535,52.414,13.448,3.951,446,93.401
Cultural,296,6.647,7.077,16.522,15.731,3.980,669,106,51.028
Religious,936,26.957,3.936,4.902,3.870,847,205,15,41.668
Health — Philanthropy,408,2.958,2.635,9.832,18.723,3.917,820,141,39.434
Syngular-Public,182,4.907,2.584,4.786,6.558,1.613,289,25,20.944
Performances,200,943,659,1.383,1.792,265,57,3,5.302
TOTAL,109.341,3.564.675,2.508.848,10.466.615,18.059.725,3.173.788,631.543,204.511,38.719.046
